,input_size,channels,pool_size,stride,runtime
2577,242,217,1,1,
2578,253,136,2,1,
2579,140,437,1,2,
2580,245,473,2,2,
2581,430,442,2,1,
2582,339,395,3,1,
2583,440,361,1,2,
2584,245,212,2,2,
2585,52,5,3,2,0.000703333353158
2586,189,13,2,2,
2587,118,24,2,1,
2588,139,419,3,1,
2589,324,114,2,2,
2590,422,143,2,2,
2591,263,412,1,1,
2592,438,466,2,1,
2593,105,254,3,2,
2594,114,223,3,2,
2595,132,238,3,2,
2596,182,134,2,1,
2597,201,117,2,1,0.59911698103
2598,365,378,2,2,
2599,306,440,2,1,
2600,307,305,2,1,
2601,418,168,2,1,
2602,174,126,2,1,
2603,335,186,3,2,
2604,293,261,2,1,
2605,269,512,3,2,
2606,447,57,1,1,
2607,405,129,1,1,
2608,105,292,2,1,
2609,100,308,2,1,
2610,35,337,1,1,
2611,109,4,1,2,0.00081566668814
2612,276,471,3,2,
2613,397,433,1,1,
2614,35,378,2,1,
2615,52,206,2,1,
2616,133,301,2,2,
2617,67,183,1,2,
2618,209,305,2,2,0.440593987703
2619,72,99,3,1,
2620,357,217,2,2,
2621,235,88,3,1,
2622,266,242,1,2,
2623,8,363,1,1,0.00174866663292
2624,26,486,3,2,
2625,328,462,3,2,
2626,58,188,2,2,
2627,274,403,3,1,
2628,143,86,3,1,
2629,42,2,1,2,7.66666707932e-05
2630,328,252,2,2,
2631,408,109,1,2,
2632,121,311,1,2,
2633,264,3,1,1,0.0205913335085
2634,285,114,2,1,
2635,1,153,2,2,4.23333367507e-05
2636,83,63,3,1,
2637,74,253,2,2,
2638,210,480,2,1,2.73482394218
2639,385,233,3,2,
2640,22,487,2,1,
2641,375,60,2,1,
2642,433,242,1,1,
2643,82,277,3,1,
2644,300,505,1,1,
2645,408,460,2,1,
2646,244,98,3,2,
2647,384,308,2,2,
2648,7,372,3,1,0.00353633332998
2649,27,70,2,1,0.00688200024888
2650,26,340,2,1,
2651,230,205,3,1,
2652,85,38,2,1,
2653,236,388,3,1,
2654,342,441,1,1,
2655,272,47,2,1,
2656,445,507,1,2,
2657,394,88,1,2,
2658,273,28,1,2,
2659,26,158,3,1,
2660,23,373,2,1,
2661,410,64,3,2,
2662,400,65,2,1,
2663,151,106,1,1,
2664,204,334,2,1,1.75927555561
2665,280,12,1,1,
2666,193,373,1,2,0.281142324209
2667,135,99,3,1,
2668,31,21,2,2,0.000635000003967
2669,303,176,2,2,
2670,355,226,1,1,
2671,402,175,2,2,
2672,319,384,1,1,
2673,97,243,1,2,
2674,388,274,3,2,
2675,316,162,2,2,
2676,207,331,1,1,1.09510231018
2677,1,347,1,2,5.66666676605e-05
2678,181,27,2,1,
2679,61,454,2,2,
2680,108,283,2,2,
2681,12,49,3,2,0.000376333337044
2682,126,108,2,2,
2683,3,130,1,2,5.93333352299e-05
2684,79,26,3,2,
2685,212,400,2,2,0.591805994511
2686,324,146,2,1,
2687,209,395,3,2,0.911846935749
2688,262,282,2,2,
2689,55,426,3,2,
2690,88,305,3,1,
2691,296,179,2,1,
2692,279,27,1,2,
2693,419,407,1,2,
2694,99,427,2,2,
2695,374,432,3,2,
2696,31,116,1,2,
2697,204,335,2,1,1.77994728088
2698,317,9,3,1,
2699,262,148,3,1,
2700,425,105,2,1,
2701,282,178,2,2,
2702,44,61,2,2,
2703,313,94,1,1,
2704,330,123,3,2,
2705,124,435,1,2,
2706,352,434,3,1,
2707,170,210,3,2,
2708,197,29,1,1,0.0927476659417
2709,50,120,3,2,
2710,196,505,2,1,2.48836135864
2711,440,285,3,1,
2712,101,314,2,2,
2713,180,104,3,2,
2714,319,279,2,1,
2715,64,390,1,1,
2716,37,464,2,1,
2717,324,144,2,1,
2718,327,465,1,2,
2719,391,178,2,2,
2720,365,239,2,1,
2721,435,387,2,1,
2722,201,495,3,2,1.06182825565
2723,90,62,3,1,
2724,110,147,2,2,
2725,438,301,3,1,
2726,245,346,2,1,
2727,312,221,3,2,
2728,356,272,1,2,
2729,278,114,2,2,
2730,170,137,2,2,
2731,215,105,3,2,0.270722657442
2732,252,376,3,1,
2733,234,154,1,1,
2734,375,82,2,1,
2735,330,293,3,1,
2736,98,69,1,1,
2737,74,305,1,1,
2738,151,67,2,2,
2739,370,335,3,2,
2740,333,411,1,2,
2741,260,188,3,2,
2742,333,32,1,1,
2743,218,299,2,1,1.80365407467
2744,193,77,3,1,0.596790969372
2745,326,42,1,2,
2746,33,414,2,2,
2747,132,45,1,2,
2748,186,326,3,1,
2749,419,474,3,2,
2750,373,313,2,1,
2751,280,271,3,1,
2752,102,90,3,2,
2753,349,165,3,2,
2754,409,284,2,1,
2755,13,438,1,1,0.00580266676843
2756,144,55,3,2,
2757,364,116,3,2,
2758,256,487,3,1,
2759,269,310,3,1,
2760,290,141,3,1,
2761,285,498,3,1,
2762,435,138,1,2,
2763,102,509,1,2,
2764,310,509,3,2,
2765,447,437,1,2,
2766,376,435,3,2,
2767,22,481,3,1,
2768,7,22,3,1,0.000233666665736
2769,110,453,2,2,
2770,363,420,3,1,
2771,286,380,3,2,
2772,87,440,3,1,
2773,242,48,1,2,
2774,134,238,2,1,
2775,434,446,2,2,
2776,1,490,1,1,7.00000018696e-05
2777,430,458,3,2,
2778,201,85,3,2,0.179220989347
2779,300,196,3,2,
2780,215,97,3,1,0.938080966473
2781,206,101,3,1,0.887741029263
2782,9,149,3,1,0.00237066671252
2783,329,402,1,2,
2784,256,494,2,1,
2785,282,30,3,1,
2786,246,263,1,2,
2787,298,460,1,2,
2788,126,93,1,1,
2789,321,45,2,2,
2790,110,45,1,2,
2791,371,483,1,2,
2792,207,488,3,1,4.35067558289
2793,134,193,1,2,
2794,312,158,1,2,
2795,107,331,3,1,
2796,384,331,3,1,
2797,275,192,2,2,
2798,314,37,2,2,
2799,217,328,1,1,1.1760622263
2800,396,128,3,1,
2801,343,485,3,1,
2802,121,367,2,1,
2803,221,304,2,2,0.483923345804
2804,193,130,3,2,0.268204659224
2805,132,213,1,2,
2806,102,381,3,2,
2807,175,407,1,2,
2808,175,330,3,1,
2809,144,442,3,1,
2810,378,406,3,2,
2811,40,109,1,1,
2812,367,440,1,2,
2813,154,33,3,2,
2814,229,494,1,1,
2815,125,159,2,2,
2816,419,141,3,1,
2817,327,241,3,1,
2818,195,303,3,2,0.61105298996
2819,436,78,3,2,
2820,325,74,1,1,
2821,333,221,2,2,
2822,311,356,3,2,
2823,402,288,2,1,
2824,402,387,2,2,
2825,48,251,2,1,
2826,349,132,2,2,
2827,258,316,2,1,
2828,101,302,1,2,
2829,114,140,2,1,
2830,146,384,1,1,
2831,321,225,2,2,
2832,135,290,1,2,
2833,71,26,2,1,
2834,192,428,3,1,
2835,155,225,3,1,
2836,344,275,1,2,
2837,213,104,3,2,0.246717333794
2838,282,507,2,1,
2839,85,439,1,1,
2840,326,503,1,1,
2841,16,342,2,1,
2842,170,392,1,2,
2843,272,203,3,1,
2844,166,472,2,2,
2845,205,139,1,1,0.446161359549
2846,358,176,2,2,
2847,233,284,2,2,
2848,80,318,1,1,
2849,137,462,2,2,
2850,53,31,2,2,0.00279033347033
2851,383,468,3,2,
2852,385,479,1,2,
2853,24,443,1,1,
2854,158,208,1,2,
2855,89,325,3,1,
2856,274,437,1,1,
2857,427,218,2,2,
2858,374,476,1,1,
2859,360,30,2,1,
2860,269,2,1,1,0.0116870002821
2861,84,32,2,1,
2862,96,496,2,2,
2863,338,450,1,1,
2864,54,229,3,1,
2865,332,488,3,2,
2866,129,428,1,1,
2867,245,440,3,2,
2868,71,186,1,1,
2869,45,1,2,2,0.000101999998151
2870,190,280,3,2,
2871,309,97,2,2,
2872,394,40,1,1,
2873,219,387,2,1,2.35152411461
2874,43,115,2,2,
2875,119,191,3,2,
2876,135,165,1,2,
2877,448,127,1,2,
2878,260,472,3,1,
2879,287,488,2,2,
2880,210,509,1,2,0.442499995232
2881,174,430,2,2,
2882,13,280,2,1,0.00617533316836
2883,428,103,1,1,
2884,123,369,2,2,
2885,274,216,3,2,
2886,39,59,3,1,0.02101133205
2887,79,114,3,2,
2888,126,39,3,1,
2889,175,188,1,2,
2890,288,489,1,1,
2891,69,453,3,1,
2892,90,258,1,2,
2893,51,195,3,1,
2894,24,188,1,2,
2895,240,464,2,2,
2896,122,401,3,1,
2897,304,7,1,1,
2898,315,78,1,1,
2899,43,384,1,2,
2900,280,222,2,1,
2901,401,219,1,2,
2902,112,185,1,2,
2903,251,302,3,1,
2904,426,491,2,1,
2905,334,363,3,2,
2906,345,217,2,2,
2907,431,159,1,2,
2908,421,441,3,2,
2909,357,9,3,1,0.238911673427
2910,335,419,1,2,
2911,412,375,1,2,
2912,85,198,3,2,
2913,237,120,2,2,
2914,197,186,3,2,0.390673667192
2915,296,87,2,1,
2916,227,124,3,2,
2917,282,54,3,2,
2918,126,477,1,1,
2919,270,377,1,2,
2920,274,78,2,1,
2921,325,262,1,2,
2922,87,95,1,2,
2923,146,113,3,1,
2924,129,58,2,1,
2925,283,74,3,1,
2926,379,489,3,2,
2927,225,231,1,2,
2928,22,270,1,1,
2929,63,288,3,1,
2930,269,221,2,2,
2931,397,352,2,2,
2932,219,23,2,1,0.158340334892
2933,354,492,1,2,
2934,360,79,2,2,
2935,78,41,3,2,
2936,184,447,1,2,
2937,409,310,2,2,
2938,340,376,1,1,
2939,71,461,2,1,
2940,58,241,3,1,
2941,46,88,1,2,
2942,150,111,3,2,
2943,136,358,1,1,
2944,205,430,2,1,2.32259845734
2945,289,378,1,1,
2946,427,443,1,2,
2947,174,211,1,1,
2948,298,281,3,1,
2949,215,46,2,2,0.0703326687217
2950,35,253,2,2,
2951,85,314,3,2,
2952,244,489,2,1,
2953,147,261,3,1,
2954,345,374,2,2,
2955,4,423,3,2,0.000369333341951
2956,436,17,3,1,
2957,184,292,2,1,
2958,90,44,2,1,
2959,30,471,3,2,
2960,222,139,3,2,0.356392353773
2961,102,9,1,2,
2962,376,65,1,2,
2963,33,128,1,1,
2964,344,477,2,1,
2965,215,9,2,1,0.0586596690118
2966,275,39,3,2,
2967,271,326,2,2,
2968,342,133,1,2,
2969,178,111,1,2,
2970,314,303,1,1,
2971,326,320,1,1,
2972,114,138,2,2,
2973,202,140,2,1,0.728286325932
2974,247,396,1,1,
2975,218,466,3,2,1.15207958221
2976,313,406,3,1,
2977,433,458,1,2,
2978,24,233,1,2,
2979,218,34,2,2,0.0531196705997
2980,268,155,3,2,
2981,377,206,2,2,
2982,327,426,2,1,
2983,135,370,2,2,
2984,366,213,2,1,
2985,16,183,2,1,
2986,135,249,1,1,
2987,110,448,3,1,
2988,112,378,2,1,
2989,408,158,1,1,
2990,59,266,3,1,
2991,276,193,3,2,
2992,151,300,1,1,
2993,347,12,3,2,0.0780119970441
2994,427,512,3,1,
2995,176,144,1,2,
2996,135,419,2,2,
2997,173,262,1,1,
2998,80,300,1,1,
2999,132,120,2,1,
3000,94,201,2,1,
3001,122,365,3,2,
3002,429,477,3,2,
3003,92,65,3,1,
3004,50,452,3,2,
3005,3,93,2,2,6.700000813e-05
3006,85,89,2,1,
3007,91,168,1,2,
3008,187,326,3,1,
3009,300,259,3,2,
3010,211,390,3,1,3.6220395565
3011,108,6,2,2,
3012,313,63,2,1,
3013,360,87,2,1,
3014,147,230,2,1,
3015,236,64,1,1,
3016,185,141,3,2,
3017,80,87,2,1,
3018,186,329,3,2,
3019,269,357,1,2,
3020,32,69,2,2,0.00209399987943
3021,312,19,2,2,
3022,248,469,1,2,
3023,139,362,1,1,
3024,201,357,1,2,0.278254330158
3025,187,379,3,1,
3026,132,460,3,2,
3027,335,82,1,2,
3028,29,377,1,2,
3029,447,311,3,1,
3030,230,13,2,2,
3031,301,142,1,2,
3032,210,270,2,1,1.5277119875
3033,386,104,1,2,
3034,190,54,2,1,
3035,173,265,3,1,
3036,291,358,3,1,
3037,311,145,3,2,
3038,105,59,3,1,
3039,258,440,1,2,
3040,132,235,1,2,
3041,326,309,3,1,
3042,297,494,1,1,
3043,232,150,1,1,
3044,405,62,3,2,
3045,67,71,2,2,
3046,108,287,3,1,
3047,118,281,2,2,
3048,177,69,1,1,
3049,108,116,2,2,
3050,375,103,2,1,
3051,416,138,3,1,
3052,408,307,3,1,
3053,78,253,1,2,
3054,404,428,2,2,
3055,106,206,1,1,
3056,446,404,2,1,
3057,337,499,1,2,
3058,21,52,2,1,0.00282066687942
3059,391,172,2,2,
3060,114,35,3,1,
3061,193,187,1,1,0.530402958393
3062,138,351,2,1,
3063,437,281,1,1,
3064,278,289,2,1,
3065,307,66,2,2,
3066,365,360,1,1,
3067,219,489,1,2,0.500671684742
3068,403,249,2,1,
3069,37,192,2,2,
3070,77,484,1,2,
3071,68,101,3,1,
3072,3,472,1,2,0.000245333329076
3073,330,319,2,2,
3074,54,419,1,1,
3075,139,132,2,2,
3076,275,171,2,2,
3077,143,226,3,1,
3078,36,112,2,2,
3079,91,224,1,2,
3080,285,209,3,2,
3081,119,425,2,2,
3082,147,248,3,1,
3083,330,82,3,2,
3084,271,267,3,1,
3085,169,88,2,1,
3086,160,338,1,2,
3087,204,114,3,2,0.248689010739
3088,140,306,3,1,
3089,323,500,1,1,
3090,428,66,2,1,
3091,91,48,3,1,
3092,191,132,3,2,
3093,131,250,1,2,
3094,301,352,2,2,
3095,416,186,1,2,
3096,116,92,2,1,
3097,321,376,2,1,
3098,328,506,3,2,
3099,400,190,3,1,
3100,195,105,1,1,0.306544661522
3101,296,60,2,2,
3102,73,110,1,2,
3103,172,434,1,2,
3104,174,354,3,1,
3105,50,243,1,1,
3106,176,292,3,2,
3107,27,312,3,2,
3108,269,29,2,1,
3109,282,326,2,2,
3110,361,370,1,2,
3111,273,195,2,1,
3112,150,427,2,1,
3113,355,500,1,2,
3114,9,159,1,1,0.000919333368074
3115,249,257,2,2,
3116,150,500,1,1,
3117,306,313,3,2,
3118,314,454,2,2,
3119,286,503,1,1,
3120,71,228,1,2,
3121,405,54,1,2,
3122,266,326,3,1,
3123,113,410,1,2,
3124,87,292,2,2,
3125,417,106,2,1,
3126,41,278,3,1,
3127,342,320,2,2,
3128,79,82,3,2,
3129,315,459,1,2,
3130,158,257,3,2,
3131,131,115,1,1,
3132,101,396,3,1,
3133,311,157,3,1,
3134,383,28,3,1,
3135,436,41,3,2,
3136,141,435,2,2,
3137,418,230,1,2,
3138,101,397,1,1,
3139,204,415,3,2,0.912388324738
3140,63,477,3,2,
3141,17,478,2,1,
3142,329,448,2,1,
3143,38,149,1,2,
3144,325,290,1,2,
3145,193,230,3,2,0.457477003336
3146,408,347,2,2,
3147,211,203,2,2,0.299108654261
3148,67,146,1,1,
3149,346,121,2,2,
3150,2,392,3,1,0.000381666672183
3151,3,232,2,2,0.000204333337024
3152,107,454,1,2,
3153,158,178,1,2,
3154,404,23,2,2,
3155,314,435,3,2,
3156,6,213,2,2,0.000272666657111
3157,33,233,1,2,
3158,140,465,1,2,
3159,174,296,2,2,
3160,245,183,3,2,
3161,279,219,1,1,
3162,199,267,2,2,0.365627676249
3163,235,62,2,2,
3164,86,419,3,1,
3165,294,109,3,2,
3166,267,345,2,2,
3167,284,261,2,1,
3168,172,225,1,2,
3169,332,382,3,1,
3170,381,273,3,2,
3171,168,240,1,1,
3172,65,22,2,2,
3173,178,417,1,2,
3174,174,397,1,1,
3175,165,234,3,1,
3176,428,192,3,2,
3177,384,487,3,2,
3178,114,196,2,1,
3179,280,189,1,2,
3180,121,93,3,1,
3181,275,430,1,2,
3182,136,175,2,1,
3183,228,182,1,2,
3184,315,425,2,1,
3185,11,249,1,1,0.00202900008298
3186,192,440,3,2,
3187,338,111,3,1,
3188,272,164,2,1,
3189,171,115,2,1,
3190,81,237,3,1,
3191,436,340,3,2,
3192,384,197,3,2,
3193,56,470,2,2,
3194,76,464,2,1,
3195,230,22,3,1,
3196,347,39,1,1,
3197,186,506,3,1,
3198,202,242,1,2,0.190254330635
3199,17,231,3,2,
3200,385,431,1,1,
3201,108,278,3,1,
3202,430,211,3,1,
3203,285,308,3,1,
3204,159,328,2,1,
3205,207,52,3,1,0.473165661097
3206,91,28,2,1,
3207,204,364,1,1,1.15703427792
3208,81,430,2,1,
3209,308,395,3,1,
3210,214,138,3,2,0.329478651285
3211,432,22,2,1,
3212,120,187,1,2,
3213,368,355,1,2,
3214,395,237,3,2,
3215,256,193,2,2,
3216,150,168,1,1,
3217,434,234,3,1,
3218,269,453,3,2,
3219,236,342,1,2,
3220,410,443,3,1,
3221,9,148,2,1,0.00138899998274
3222,396,224,2,1,
3223,252,5,3,1,
3224,123,208,2,1,
3225,7,446,3,1,0.00638400018215
3226,99,143,2,2,
3227,376,197,2,1,
3228,439,302,3,2,
3229,24,191,2,2,
3230,407,468,1,1,
3231,246,214,2,2,
3232,306,31,2,1,
3233,419,180,2,1,
3234,62,376,3,1,
3235,153,207,3,2,
3236,138,411,2,1,
3237,132,210,3,2,
3238,16,132,2,1,
3239,442,494,1,1,
3240,199,175,1,2,0.141766324639
3241,179,188,2,1,
3242,311,202,3,2,
3243,359,390,1,1,
3244,30,291,2,1,
3245,350,9,2,2,0.0349846668541
3246,353,83,1,2,
3247,373,223,2,2,
3248,78,483,3,1,
3249,439,256,2,1,
3250,84,443,1,1,
3251,319,418,2,1,
3252,364,429,1,2,
3253,237,32,2,2,
3254,130,23,2,1,
3255,425,199,2,1,
3256,195,40,2,2,0.0502279996872
3257,139,219,1,1,
3258,400,288,2,2,
3259,214,129,3,2,0.31259098649
3260,76,215,1,2,
3261,205,89,3,2,0.204566001892
3262,121,501,2,1,
3263,153,434,2,1,
3264,70,197,3,1,
3265,104,298,1,2,
3266,379,428,1,2,
3267,124,303,1,2,
3268,44,175,1,1,
3269,428,399,1,2,
3270,303,87,3,2,
3271,125,197,3,1,
3272,166,205,2,1,
3273,371,129,1,1,
3274,314,382,2,1,
3275,146,476,3,1,
3276,143,175,3,1,
3277,232,248,1,1,
3278,108,244,3,2,
3279,60,425,2,1,
3280,372,256,3,2,
3281,29,188,2,1,
3282,313,177,1,2,
3283,221,439,1,1,1.66069793701
3284,33,412,2,1,
3285,211,207,3,1,1.94032728672
3286,448,485,1,2,
3287,365,489,2,1,
3288,185,481,3,2,
3289,410,500,2,2,
3290,158,410,1,1,
3291,256,510,3,1,
3292,174,183,1,1,
3293,66,435,2,1,
3294,115,83,3,2,
3295,426,416,2,1,
3296,60,399,2,1,
3297,434,19,2,2,
3298,68,202,1,2,
3299,83,268,3,1,
3300,412,111,1,1,
3301,304,477,3,2,
3302,226,466,2,1,
3303,341,256,3,1,
3304,270,332,2,2,
3305,134,416,3,1,
3306,247,420,3,1,
3307,282,403,2,2,
3308,141,235,1,1,
3309,157,143,2,1,
3310,84,229,2,1,
3311,337,130,2,1,
3312,137,472,2,1,
3313,44,434,1,1,
3314,249,319,1,2,
3315,78,346,1,1,
3316,163,282,3,1,
3317,263,22,2,2,
3318,175,149,3,1,
3319,210,96,2,2,0.139237686992
3320,148,310,1,1,
3321,415,181,2,2,
3322,89,266,1,2,
3323,425,282,3,1,
3324,210,284,3,2,0.677682638168
3325,263,392,2,1,
3326,386,495,3,2,
3327,316,442,1,1,
3328,36,390,3,2,
3329,271,143,1,2,
3330,330,233,1,2,
3331,261,164,2,1,
3332,319,223,3,1,
3333,156,244,2,1,
3334,410,409,1,2,
3335,284,427,2,2,
3336,39,24,3,1,0.00729533331469
3337,157,68,1,1,
3338,413,427,2,2,
3339,45,166,2,1,
3340,115,254,3,2,
3341,161,336,1,2,
3342,111,438,2,1,
3343,151,45,1,1,
3344,92,512,3,1,
3345,286,322,1,1,
3346,11,505,3,2,0.00356699991971
3347,359,255,2,2,
3348,269,328,2,2,
3349,11,393,2,2,0.0017003333196
3350,175,180,2,1,
3351,148,359,3,2,
3352,198,319,1,2,0.247509658337
3353,366,40,3,1,
3354,208,20,2,1,0.105702005327
3355,179,314,3,2,
3356,203,172,1,1,0.570657670498
3357,80,266,1,1,
3358,415,229,1,2,
3359,7,97,3,2,0.000342333310982
3360,162,440,2,1,
3361,247,25,3,1,
3362,225,505,1,1,
3363,214,463,1,1,1.62558174133
3364,217,43,1,2,0.0404159985483
3365,134,306,2,1,
3366,395,91,3,1,
3367,88,316,3,1,
3368,140,235,2,1,
3369,187,5,3,1,
3370,440,4,2,2,0.0245446655899
3371,413,69,3,1,
3372,71,463,1,2,
3373,123,67,2,1,
3374,417,236,1,2,
3375,40,1,1,2,4.29999963671e-05
3376,386,246,2,1,
3377,280,406,2,2,
3378,308,411,3,1,
3379,262,82,2,2,
3380,353,441,3,1,
3381,421,387,1,2,
3382,442,44,2,1,
3383,314,203,2,2,
3384,283,237,3,2,
3385,158,164,1,2,
3386,58,351,2,2,
3387,130,466,3,2,
3388,108,226,1,1,
3389,195,189,1,1,0.554092645645
3390,45,210,2,2,
3391,81,158,3,1,
3392,264,155,1,1,
3393,62,200,2,2,
3394,76,21,1,2,
3395,427,295,3,1,
3396,257,276,1,1,
3397,114,57,3,1,
3398,269,166,2,1,
3399,70,435,1,2,
3400,425,450,2,2,
3401,116,128,1,1,
3402,176,184,2,1,
3403,309,288,3,1,
3404,285,75,2,1,
3405,141,348,3,2,
3406,254,25,2,1,
3407,89,105,2,2,
3408,93,7,3,1,
3409,19,112,1,2,
3410,78,217,2,1,
3411,100,484,1,1,
3412,232,362,1,1,
3413,155,454,2,2,
3414,256,510,2,2,
3415,177,201,3,2,
3416,348,285,2,1,
3417,313,14,2,1,
3418,178,91,1,1,
3419,289,305,3,1,
3420,7,44,1,2,6.56666670693e-05
3421,428,446,1,2,
3422,398,330,3,1,
3423,12,48,3,1,0.00133566663135
3424,385,414,3,1,
3425,336,113,1,2,
3426,240,240,1,2,
3427,311,356,2,1,
3428,174,457,1,2,
3429,93,493,1,2,
3430,220,466,2,1,2.88742232323
3431,18,162,2,2,0.00163733342197
3432,39,311,1,2,
3433,375,187,2,1,
3434,420,450,3,2,
3435,173,499,2,2,
3436,189,92,1,1,
3437,231,472,1,1,
3438,403,143,2,2,
3439,215,421,3,2,1.03788030148
3440,19,320,2,2,
3441,140,399,2,2,
3442,268,63,3,2,
3443,67,353,1,1,
3444,252,393,1,1,
3445,435,194,3,2,
3446,357,419,3,2,
3447,395,129,2,1,
3448,229,350,3,2,
3449,159,78,2,1,
3450,408,36,1,1,
3451,243,132,2,2,
3452,177,440,1,1,
3453,328,393,1,2,
3454,175,59,1,2,
3455,212,318,1,2,0.278811663389
3456,181,253,1,1,
3457,123,52,3,1,
3458,89,131,1,1,
3459,140,346,3,1,
3460,211,151,1,2,0.136244341731
3461,432,213,3,2,
3462,134,132,1,1,
3463,89,466,2,1,
3464,125,104,2,1,
3465,12,383,3,2,0.00271633337252
3466,401,306,3,2,
3467,242,389,2,1,
3468,184,357,1,1,
3469,311,251,1,1,
3470,134,501,3,2,
3471,391,258,1,2,
3472,410,17,2,1,
3473,229,342,3,1,
3474,431,376,2,2,
3475,117,103,2,2,
3476,398,428,2,1,
3477,255,320,3,2,
3478,16,76,2,1,0.00224966672249
3479,6,250,1,2,0.000213666658965
3480,356,412,1,2,
3481,362,430,2,2,
3482,218,262,2,1,1.60418307781
3483,429,438,3,2,
3484,280,317,2,2,
3485,91,187,1,1,
3486,24,44,1,2,0.0006473333342
3487,188,446,1,1,
3488,30,296,1,2,
3489,130,404,3,2,
3490,78,258,2,1,
3491,81,166,3,2,
3492,107,229,3,1,
3493,8,16,2,1,0.000148666658788
3494,151,327,3,2,
3495,142,234,2,2,
3496,383,289,1,1,
3497,394,423,3,1,
3498,7,152,3,2,0.000594333338086
3499,196,273,3,1,2.1900074482
3500,293,121,3,1,
3501,439,511,1,2,
3502,270,375,1,2,
3503,34,255,3,1,
3504,391,365,3,2,
3505,83,9,1,1,
3506,176,181,1,1,
3507,318,213,3,2,
3508,58,443,3,2,
3509,245,292,2,1,
3510,118,208,2,1,
3511,35,447,3,1,
3512,236,490,1,2,
3513,203,507,1,1,1.59544193745
3514,88,493,1,2,
3515,354,346,3,2,
3516,93,426,2,1,
3517,238,186,3,2,
3518,345,165,3,1,
3519,175,110,1,2,
3520,358,199,3,2,
3521,24,305,2,1,
3522,99,487,3,2,
3523,284,432,1,1,
3524,108,365,1,1,
3525,281,120,2,1,
3526,38,354,1,1,
3527,315,160,1,2,
3528,38,203,3,1,
3529,372,21,2,2,
3530,29,166,3,2,
3531,350,378,3,2,
3532,137,417,1,2,
3533,64,497,3,2,
3534,34,447,2,1,
3535,24,338,2,2,
3536,401,208,2,1,
3537,198,206,2,2,0.273187667131
3538,131,263,2,1,
3539,369,476,3,2,
3540,411,30,1,2,
3541,71,358,1,1,
3542,78,24,2,2,
3543,248,457,2,2,
3544,54,36,3,1,0.0210273321718
3545,156,417,1,1,
3546,93,477,2,2,
3547,337,392,1,2,
3548,216,427,3,1,4.15156030655
3549,3,42,1,1,4.33333334513e-05
3550,241,134,3,2,
3551,223,263,1,2,
3552,213,210,3,2,0.497318983078
3553,55,66,1,2,
3554,227,237,1,1,
3555,279,477,3,1,
3556,271,421,1,1,
3557,130,408,1,2,
3558,354,468,2,1,
3559,426,278,1,1,
3560,162,471,1,1,
3561,73,206,1,2,
3562,403,446,1,1,
3563,371,93,2,2,
3564,114,70,3,1,
3565,202,136,3,1,1.17335939407
3566,243,160,2,2,
3567,55,229,2,2,
3568,90,210,2,2,
3569,58,454,2,1,
3570,165,508,1,1,
3571,250,318,3,1,
3572,181,140,2,2,
3573,156,396,3,2,
3574,168,512,3,1,
3575,369,294,2,1,
3576,81,301,1,1,
3577,412,389,1,1,
3578,124,473,3,1,
3579,275,15,2,2,
3580,256,255,1,1,
3581,137,102,2,1,
3582,351,113,3,1,
3583,412,45,3,1,
3584,333,459,3,1,
3585,286,467,1,1,
3586,251,24,2,2,
3587,312,409,3,2,
3588,109,353,1,1,
3589,352,125,2,2,
3590,377,405,2,1,
3591,112,151,2,1,
3592,360,429,2,1,
3593,213,321,2,1,1.88726663589
3594,16,174,3,1,
3595,293,71,2,1,
3596,131,93,3,1,
3597,224,123,3,2,
3598,419,2,3,1,0.0728910043836
3599,72,244,2,2,
3600,393,75,2,2,
3601,109,379,2,1,
3602,2,90,1,2,2.80000003841e-05
3603,396,44,1,2,
3604,75,300,2,2,
3605,204,53,2,2,0.0727749988437
3606,415,473,1,1,
3607,382,159,3,2,
3608,423,409,1,2,
3609,405,182,3,2,
3610,157,319,2,1,
3611,24,109,3,2,0.00337366666645
3612,446,195,2,1,
3613,287,359,3,1,
3614,363,349,2,2,
3615,326,64,3,2,
3616,179,443,3,1,
3617,434,446,3,1,
3618,201,155,3,1,1.3017257452
3619,417,397,2,2,
3620,372,388,3,1,
3621,209,449,1,2,0.381732344627
3622,446,110,1,2,
3623,188,321,2,2,
3624,43,414,3,1,
3625,215,35,1,1,0.144163668156
3626,390,236,1,1,
3627,283,429,2,2,
3628,162,48,2,2,
3629,262,449,2,2,
3630,357,133,2,1,
3631,121,272,1,1,
3632,73,138,2,1,
3633,35,477,1,1,
3634,358,177,1,2,
3635,133,319,1,2,
3636,49,54,3,1,
3637,278,458,1,2,
3638,64,365,2,2,
3639,417,493,1,1,
3640,9,167,2,1,0.0015916666016
3641,3,43,1,1,4.53333341284e-05
3642,403,40,1,2,
3643,153,253,1,1,
3644,294,433,3,2,
3645,327,127,1,1,
3646,193,471,2,1,2.24711585045
3647,13,153,2,1,0.00332199991681
3648,174,506,2,2,
3649,299,415,1,2,
3650,17,316,2,2,
3651,417,177,3,1,
3652,231,2,2,2,0.00344066671096
3653,13,94,1,1,0.00103366666008
3654,26,424,1,2,
3655,41,363,2,2,
3656,380,166,3,2,
3657,83,194,1,2,
3658,86,322,1,1,
3659,448,104,3,2,
3660,433,394,2,2,
3661,415,293,3,1,
3662,108,240,3,1,
