,input_size,channels,pool_size,stride,runtime
265,154,307,2,1,
266,342,363,1,1,
267,396,274,3,2,
268,223,65,1,1,
269,5,355,3,1,0.00174933334347
270,100,122,3,1,
271,81,433,3,2,
272,261,445,1,1,
273,10,342,3,1,0.0068566664122
274,79,427,3,1,
275,360,463,1,1,
276,147,351,2,1,
277,13,253,3,1,0.00861933361739
278,431,153,3,2,
279,42,102,1,2,
280,229,6,3,2,
281,210,206,1,1,0.664928376675
282,241,380,3,2,
283,128,184,2,2,
284,26,318,2,2,
285,127,75,1,1,
286,303,109,3,2,
287,59,473,3,1,
288,232,433,3,1,
289,300,258,3,1,
290,113,305,2,1,
291,359,403,2,1,
292,334,132,2,2,
293,360,182,1,2,
294,273,511,2,2,
295,28,278,3,1,
296,359,413,2,2,
297,54,27,3,1,0.0156846661121
298,213,154,1,2,0.139349654317
299,101,76,3,1,
300,177,121,3,1,
301,357,466,3,1,
302,42,95,1,2,
303,2,377,1,1,0.000136666654726
304,110,362,3,2,
305,174,3,2,1,0.0111723328009
306,158,162,2,1,
307,443,228,3,2,
308,132,331,2,1,
309,277,249,2,2,
310,292,425,3,2,
311,314,60,2,2,
312,220,360,1,1,1.2923823595
313,422,325,3,2,
314,245,100,2,1,
315,36,118,1,1,
316,52,178,2,1,
317,75,418,3,2,
318,390,440,3,2,
319,56,195,2,2,
320,310,370,2,2,
321,256,242,3,1,
322,119,230,2,2,
323,135,173,2,2,
324,314,60,3,1,
325,309,298,2,1,
326,237,326,3,2,
327,427,149,3,1,
328,47,335,2,2,
329,200,16,1,2,0.012134000659
330,307,423,2,1,
331,332,309,1,2,
332,79,453,1,2,
333,88,112,1,2,
334,344,241,1,2,
335,161,8,1,1,
336,417,268,3,2,
337,365,488,2,1,
338,188,233,2,2,
339,78,246,2,1,
340,343,135,1,2,
341,242,8,1,2,
342,227,110,2,2,
343,412,442,1,1,
344,92,243,1,2,
345,79,105,2,2,
346,237,425,1,1,
347,244,333,1,2,
348,337,489,1,2,
349,321,382,1,2,
350,412,440,1,2,
351,308,314,3,1,
352,131,185,2,1,
353,158,9,2,1,
354,233,10,2,2,
355,30,15,2,2,0.00040166664985
356,371,151,3,1,
357,416,362,3,1,
358,110,25,1,1,
359,83,444,1,2,
360,146,17,1,1,
361,251,371,1,2,
362,229,7,2,2,
363,204,409,3,1,3.41886711121
364,14,353,1,1,0.00513366656378
365,381,120,3,2,
366,13,96,3,2,0.000945999985561
367,414,284,2,1,
368,291,82,2,2,
369,129,397,1,1,
370,383,432,3,1,
371,154,81,2,2,
372,35,309,2,1,
373,418,221,1,1,
374,329,262,1,1,
375,409,150,2,1,
376,77,71,2,1,
377,446,292,2,1,
378,436,230,2,1,
379,211,302,1,1,0.980264365673
380,413,23,2,1,
381,257,87,1,2,
382,77,466,1,1,
383,60,501,3,1,
384,26,82,2,2,0.00164566666353
385,91,343,2,2,
386,225,12,1,1,
387,97,146,3,2,
388,171,89,2,2,
389,405,413,2,2,
390,267,189,1,1,
391,199,503,3,2,1.01421010494
392,441,80,1,2,
393,347,40,2,1,
394,23,29,1,2,0.0003039999865
395,292,287,2,1,
396,40,299,1,1,
397,203,454,3,1,3.7307138443
398,230,108,3,1,
399,357,22,1,1,
400,23,295,1,1,
401,14,249,1,1,0.00358633324504
402,310,446,3,1,
403,448,313,2,2,
404,117,454,3,2,
405,188,142,1,2,
406,171,484,2,2,
407,75,391,3,1,
408,176,293,3,2,
409,370,10,1,2,0.0258823335171
410,248,476,3,2,
411,252,217,3,2,
412,331,180,3,1,
413,16,378,3,1,
414,330,326,1,2,
415,179,435,1,2,
416,7,197,2,2,0.000395333307097
417,253,380,3,1,
418,430,359,2,2,
419,306,249,1,2,
420,116,239,2,2,
421,24,23,1,2,0.000239333327045
422,172,132,2,1,
423,210,87,1,1,0.299969315529
424,47,343,1,2,
425,208,38,1,1,0.120810002089
426,418,76,2,2,
427,18,45,3,1,0.00284666661173
428,202,152,1,2,0.11982998997
429,148,300,2,2,
430,102,404,1,2,
431,416,444,3,1,
432,93,471,2,1,
433,331,322,2,1,
434,341,100,3,1,
435,19,195,3,1,
436,411,284,2,2,
437,176,478,1,1,
438,326,366,3,2,
439,418,373,2,1,
440,86,121,1,1,
441,59,379,2,1,
442,15,450,2,1,
443,239,10,2,2,
444,162,371,2,2,
445,100,31,2,1,
446,196,492,1,2,0.354009002447
447,71,367,3,2,
448,229,126,3,1,
449,213,379,2,1,2.10046195984
450,216,11,2,2,0.0160233341157
451,87,73,2,2,
452,348,477,1,1,
453,317,298,3,2,
454,401,262,3,1,
455,26,374,2,1,
456,94,93,3,2,
457,5,229,2,1,0.000985666643828
458,76,497,2,2,
459,14,432,1,2,0.00148600002285
460,218,57,2,2,0.0843119993806
461,393,243,2,1,
462,324,506,1,2,
463,432,292,2,1,
464,39,442,3,1,
465,257,64,1,2,
466,379,9,2,1,0.177484333515
467,207,65,3,2,0.142867997289
468,300,329,2,1,
469,318,125,2,2,
470,62,35,2,2,0.00599433341995
471,448,39,1,1,
472,286,1,3,2,0.00402499968186
473,7,263,3,1,0.00250299996696
474,211,384,1,1,1.25291967392
475,115,84,1,1,
476,306,277,2,1,
477,270,165,1,1,
478,196,109,2,1,0.510792016983
479,161,450,1,1,
480,231,260,3,2,
481,282,478,1,2,
482,321,316,1,1,
483,69,477,2,1,
484,280,55,2,1,
485,228,141,3,2,
486,115,68,1,1,
487,126,255,3,1,
488,305,290,2,2,
489,283,410,2,2,
490,82,468,1,2,
491,76,236,1,2,
492,238,254,2,2,
493,301,231,3,2,
494,108,394,2,1,
495,163,412,2,2,
496,66,261,2,2,
497,104,41,3,2,
498,40,478,1,2,
499,137,340,1,2,
500,316,129,2,1,
501,424,218,1,2,
502,372,246,2,2,
503,275,385,3,2,
504,187,417,3,1,
505,45,336,3,1,
506,299,279,1,1,
507,444,140,2,1,
508,164,370,3,1,
509,190,322,1,2,
510,55,389,3,2,
511,307,89,1,1,
512,361,60,3,1,
513,246,147,2,1,
514,195,194,3,1,1.47267198563
515,95,352,1,1,
516,64,215,1,2,
517,187,353,2,2,
518,199,406,3,2,0.822195351124
519,43,405,3,1,
520,55,419,3,2,
521,339,327,3,2,
522,285,155,3,2,
523,272,318,2,1,
524,356,231,1,2,
525,72,18,1,1,
526,116,393,2,1,
527,254,459,1,2,
528,299,355,3,2,
529,382,159,2,2,
530,28,240,3,2,
531,356,35,1,1,
532,401,336,2,1,
533,397,269,3,1,
534,329,481,2,1,
535,11,136,2,1,0.00188966665883
536,228,458,1,2,
537,418,477,3,2,
538,157,348,2,1,
539,255,408,1,2,
540,43,316,1,1,
541,104,345,2,1,
542,241,508,2,2,
543,23,261,3,1,
544,65,267,3,2,
545,296,456,1,1,
546,439,27,3,2,
547,240,333,1,1,
