,input_size_h,input_size_w,channels,filter_size,stride,runtime
0,367,333,5,3,3,0.0169450007379
1,126,294,6,2,3,0.00348299997859
2,382,185,7,3,2,0.030379999429
3,36,31,227,2,3,0.00393499992788
4,368,26,25,2,2,0.008550000377
5,126,50,31,3,3,0.00533000007272
6,276,25,100,3,2,0.0413860008121
7,160,47,97,2,3,0.0117809996009
8,355,84,6,2,3,0.0028460000176
9,121,160,1,2,2,0.000699000025634
10,64,40,47,3,3,0.00555500015616
11,105,191,40,2,3,0.0198330003768
12,378,447,3,2,2,0.017960999161
13,233,354,2,3,3,0.00463500013575
14,137,290,16,2,3,0.0102840000764
15,125,123,47,2,2,0.0253030005842
16,52,213,19,3,3,0.00572599982843
17,60,295,28,2,3,0.00785499997437
18,300,288,5,3,2,0.0269249994308
19,170,397,1,3,3,0.00188700004946
20,427,435,4,3,3,0.0209139995277
21,190,295,9,3,2,0.0314409993589
22,312,132,14,2,3,0.00914399977773
23,143,102,49,2,3,0.0113970004022
24,146,89,12,3,2,0.00965300016105
25,424,192,3,2,2,0.00856999959797
26,298,133,6,3,3,0.00653399992734
27,150,161,23,3,2,0.0344780012965
28,60,389,24,2,3,0.00891899969429
29,411,88,12,3,2,0.026303999126
30,174,191,8,2,3,0.00425000023097
31,378,63,34,2,3,0.0130599997938
32,202,189,10,3,2,0.023362999782
33,76,439,10,2,2,0.0180140007287
34,255,312,12,3,2,0.0741880014539
35,316,438,3,2,2,0.0145530002192
36,144,216,10,3,3,0.0087510002777
37,87,149,19,3,2,0.0153609998524
38,438,87,15,3,2,0.0349580012262
39,255,199,9,3,3,0.0129089998081
40,237,197,18,3,2,0.052483998239
41,289,89,28,2,3,0.0116699999198
42,19,247,207,2,3,0.0147219998762
43,418,414,3,3,3,0.0146989999339
44,17,237,41,3,2,0.00981699954718
45,248,343,3,3,2,0.0158329997212
46,324,35,76,2,2,0.0300130005926
47,81,66,168,3,3,0.025286000222
48,378,218,8,3,3,0.0184010006487
49,142,401,2,2,2,0.00399299990386
50,136,275,12,2,3,0.00710099982098
51,439,345,4,3,2,0.0378890000284
52,404,324,3,3,3,0.0110210003331
53,354,394,6,3,3,0.0234050005674
54,150,341,16,3,3,0.0229989998043
55,117,403,15,3,3,0.019878000021
56,67,436,4,3,2,0.00716600008309
57,439,382,2,3,3,0.00937000010163
58,12,194,303,2,2,0.0249189995229
59,365,201,4,2,2,0.0102180000395
60,377,43,4,3,3,0.0017719999887
61,225,236,2,3,3,0.0029420000501
62,122,431,14,3,2,0.0454679988325
63,370,448,5,3,3,0.0231159999967
64,214,424,8,2,3,0.011371999979
65,129,84,61,2,3,0.0105469999835
66,79,427,21,3,3,0.0193910002708
67,243,281,14,2,2,0.0336799994111
68,398,429,4,3,2,0.0427480004728
69,342,47,34,2,3,0.00893600005656
70,219,229,18,2,3,0.0143699999899
71,146,84,42,2,2,0.0183569993824
72,9,342,209,2,2,0.0200759992003
73,153,267,14,2,3,0.00910400040448
74,184,79,33,2,3,0.00751999998465
75,372,364,6,2,2,0.0288190003484
76,133,368,11,2,3,0.00857600010931
77,154,162,25,2,2,0.0220219995826
78,116,247,15,3,3,0.0116959996521
79,426,256,3,3,2,0.0204060003161
80,278,34,2,2,2,0.00114599999506
81,75,203,33,3,2,0.0350699983537
82,262,1,55,3,2,4.89999983984e-05
83,344,357,8,2,3,0.0157859995961
84,30,18,1851,3,3,0.02893400006
85,33,398,56,2,3,0.0117130000144
86,390,270,3,2,2,0.0110750002787
87,13,448,93,3,2,0.0310270003974
88,209,448,3,3,2,0.0175369996578
89,426,365,5,3,3,0.0216729994863
90,189,399,2,3,3,0.00419100001454
91,69,68,133,2,3,0.0172269996256
92,311,373,7,2,3,0.0135110002011
93,161,336,8,2,3,0.00686899991706
94,242,35,62,3,2,0.0315909981728
95,27,241,40,3,2,0.0156500004232
96,397,97,24,3,3,0.0253919996321
97,18,390,110,3,3,0.0217829998583
98,372,394,5,2,3,0.0115250004455
99,64,173,63,2,3,0.0109139997512
100,409,71,14,3,3,0.0109989997
101,288,40,33,3,2,0.0227630008012
102,126,129,51,3,3,0.0332950018346
103,297,383,2,3,2,0.0141759999096
104,137,105,5,2,3,0.00115799997002
105,53,250,39,2,2,0.0177749991417
106,178,340,4,3,3,0.00665900018066
107,86,118,20,2,3,0.00324300001375
108,129,214,36,2,3,0.0155980000272
109,109,406,15,3,3,0.0184059999883
110,344,306,6,2,2,0.0224009994417
111,250,409,2,2,3,0.00317499996163
112,97,353,15,3,3,0.0140559999272
113,398,333,6,2,3,0.0125700002536
114,297,90,7,3,3,0.00520299980417
115,60,372,28,3,3,0.0296320002526
116,151,114,52,3,2,0.0548119992018
117,410,54,6,3,2,0.00803800020367
118,113,77,65,2,3,0.00930999964476
