,input_size_h,input_size_w,channels,filter_size,stride,runtime
0,48,311,54,3,2,0.0805760025978
1,221,48,93,3,2,0.0980419963598
2,393,315,1,3,2,0.0128340004012
3,372,397,3,3,2,0.0465329997241
4,162,200,23,3,3,0.034196998924
5,54,147,90,3,2,0.0715780034661
6,233,368,5,2,3,0.0113519998267
7,81,170,3,3,2,0.00431099999696
8,104,170,20,3,2,0.0363329984248
9,296,147,8,2,2,0.0202079992741
10,279,76,11,2,2,0.0136219998822
11,132,319,17,2,3,0.018728999421
12,254,185,13,3,2,0.0630220025778
13,157,443,4,2,3,0.00726399989799
14,173,50,101,2,3,0.0239659994841
15,337,305,9,3,2,0.0960720032454
16,397,86,17,3,2,0.0593249984086
17,371,332,8,3,2,0.103408001363
18,388,395,2,2,3,0.00810400024056
19,210,183,4,3,3,0.00725100003183
20,122,337,13,3,2,0.0548919998109
21,429,71,13,3,2,0.0406749993563
22,229,340,12,3,3,0.0431809984148
23,209,279,4,3,2,0.0239729993045
24,241,29,80,2,2,0.0317329987884
25,300,205,1,3,3,0.00290900003165
26,228,27,104,2,2,0.0364350005984
27,339,348,6,3,2,0.0733800008893
28,129,346,20,3,2,0.0911459997296
29,2,16,28865,3,2,0.0904129967093
30,37,290,87,2,3,0.0242010001093
31,371,127,15,2,3,0.0185219999403
32,189,293,15,2,2,0.0484259985387
33,281,438,5,3,2,0.0633379966021
34,254,43,91,2,2,0.0569909997284
35,365,443,6,2,3,0.0257970001549
36,156,274,4,2,2,0.0100199999288
37,114,232,11,3,3,0.0134709998965
38,330,92,19,3,2,0.0581009984016
39,144,187,4,2,2,0.00625099986792
40,25,207,159,3,2,0.0822480022907
41,417,121,9,3,2,0.0465250015259
42,115,210,25,2,3,0.0157490000129
43,122,125,48,3,3,0.033263001591
44,159,247,13,3,3,0.02363999933
45,126,138,17,3,3,0.0139049999416
46,142,370,7,3,3,0.0170900002122
47,401,176,5,2,2,0.0205780006945
48,367,432,6,2,2,0.0558069981635
49,41,220,23,3,2,0.0208049993962
50,121,436,6,3,2,0.0327409990132
51,124,327,7,2,2,0.0165470000356
52,45,271,40,2,2,0.0280080009252
53,124,18,395,3,3,0.0412519983947
54,60,28,87,3,3,0.00671300012618
55,73,219,35,3,2,0.0581049993634
56,26,391,40,2,3,0.0110879996791
57,201,236,10,2,3,0.0128260003403
58,440,168,4,2,2,0.0174509994686
59,344,107,16,3,3,0.0266859997064
60,379,424,5,3,3,0.0373950004578
61,446,232,6,2,3,0.0164470002055
62,343,77,31,3,3,0.0373779982328
63,224,141,24,3,2,0.0780270025134
64,383,17,127,3,3,0.0344510003924
65,402,187,2,3,3,0.00703100021929
66,160,73,66,3,2,0.078262001276
67,99,327,15,2,3,0.0128539996222
68,110,158,49,2,3,0.0229930002242
69,447,433,3,3,2,0.0604280009866
70,83,196,49,2,2,0.0459350012243
71,417,292,8,3,3,0.045460999012
72,429,380,3,3,2,0.050432998687
73,424,304,3,3,2,0.040068000555
74,70,380,19,2,3,0.0131369996816
75,40,324,38,2,2,0.0293700005859
76,258,238,10,3,2,0.0631730034947
77,61,174,6,2,2,0.00368100008927
78,184,24,160,2,2,0.0417889989913
79,293,251,6,2,3,0.0116919996217
80,207,405,7,3,3,0.0275159999728
81,320,21,119,2,2,0.0451509989798
82,230,145,24,3,2,0.0825000032783
83,2,415,874,3,3,0.0513349995017
84,434,283,8,3,2,0.100708000362
85,379,268,7,3,2,0.0736650004983
86,221,437,10,2,3,0.025739999488
87,239,423,7,2,3,0.0186589993536
88,153,97,33,3,3,0.0227070003748
89,321,217,11,3,2,0.0793289989233
90,229,115,3,3,3,0.00368799990974
91,172,146,30,2,3,0.0198599994183
92,11,229,63,3,2,0.0150680001825
93,9,301,33,3,3,0.00425000023097
94,237,269,12,3,3,0.0356130003929
95,166,333,9,2,2,0.0295390002429
96,194,374,10,3,2,0.0743409991264
97,106,179,28,2,3,0.0139730004594
98,91,73,122,3,2,0.0821689963341
99,322,243,12,2,2,0.0558740012348
100,182,104,8,2,3,0.0040600001812
101,188,278,11,2,2,0.0335559993982
102,148,192,31,3,2,0.0891050025821
103,1,346,2100,3,3,0.101319998503
104,38,392,60,2,3,0.0243650004268
105,436,159,4,3,3,0.0131099997088
106,17,309,68,2,3,0.00996000040323
107,27,180,52,3,3,0.0118770003319
108,410,295,1,3,2,0.0125230001286
109,416,21,32,3,2,0.0277340002358
110,129,191,12,2,2,0.0172489993274
111,329,213,12,2,2,0.0490709990263
112,366,157,14,2,2,0.046615999192
113,297,228,6,3,3,0.0193050000817
114,56,15,882,2,2,0.0418270006776
115,354,104,27,2,3,0.0270150005817
116,91,369,1,2,2,0.00194800004829
117,65,196,10,2,3,0.00343000004068
118,243,220,7,2,3,0.00981499999762
119,108,77,90,3,2,0.0769079998136
120,139,151,23,3,2,0.0498859994113
121,320,55,32,3,2,0.0574939996004
122,380,206,10,3,3,0.0361629985273
123,380,286,7,3,2,0.0776930004358
124,254,210,8,3,2,0.043384000659
125,268,161,16,2,2,0.04040800035
126,184,345,10,2,2,0.0372119992971
127,88,296,13,3,2,0.0343860015273
128,429,357,3,2,3,0.0120940003544
129,389,441,1,2,2,0.0100349998102
130,204,342,3,2,2,0.0122729996219
131,212,73,2,2,3,0.000842000008561
132,373,120,20,3,2,0.0917960032821
133,101,51,36,2,2,0.0106180002913
134,348,19,111,2,3,0.0189909990877
135,216,352,5,2,2,0.0224019996822
136,108,24,351,3,2,0.086428001523
137,202,215,15,2,2,0.0381859987974
138,195,305,2,3,2,0.0122029995546
139,70,120,61,2,2,0.029967000708
140,140,73,68,3,3,0.0317489989102
141,242,363,10,3,3,0.0408289991319
142,367,303,4,2,2,0.0258200000972
143,84,338,34,2,2,0.0574049986899
144,335,208,3,3,3,0.00960700027645
145,330,91,12,3,2,0.0367100015283
146,340,293,1,3,2,0.0102070001885
147,5,275,272,3,3,0.0104580000043
148,124,447,14,3,3,0.0364449992776
149,299,142,11,2,2,0.0277200005949
150,331,111,2,2,3,0.00195199996233
151,428,360,4,2,3,0.0162220001221
