,input_size_h,input_size_w,channels,filter_size,stride,runtime
158,204,213,13,2,3,0.00744900014251
159,160,267,6,2,2,0.00747499987483
160,382,149,7,2,2,0.0117340004072
161,178,351,8,3,2,0.0258169993758
162,220,5,30,2,2,0.000851000018883
163,144,228,8,3,3,0.00607499992475
164,48,88,132,3,3,0.0128359999508
165,56,144,30,3,2,0.0119209997356
166,40,442,55,3,3,0.0221149995923
167,124,341,17,3,2,0.0488459989429
168,57,235,51,2,3,0.00908999983221
169,42,260,39,2,2,0.0125320004299
170,149,201,33,2,3,0.0131799997762
171,138,332,11,2,3,0.00668899994344
172,342,75,33,3,3,0.0198309998959
173,408,5,358,3,2,0.0315390005708
174,109,226,14,3,2,0.017620999366
175,234,18,198,2,3,0.0112840002403
176,12,29,1282,2,2,0.0129570001736
177,362,386,5,2,3,0.00929899979383
178,108,351,14,3,2,0.0402350015938
179,68,256,34,2,2,0.0173150002956
180,179,65,37,3,2,0.0218919999897
181,253,267,10,2,2,0.0197090003639
182,28,16,1419,3,3,0.0140389995649
183,437,227,6,2,3,0.00795200001448
184,255,96,40,2,2,0.0287190005183
185,197,418,10,3,3,0.0191200003028
186,193,282,4,3,2,0.0113099999726
187,219,413,2,3,2,0.00942699983716
188,442,443,3,3,2,0.0472909994423
189,221,405,8,3,3,0.0164490006864
190,239,11,345,3,2,0.043898999691
191,270,272,6,3,2,0.022492999211
192,285,50,43,2,3,0.00829800032079
193,131,389,14,3,3,0.0161899998784
194,226,216,6,3,3,0.00682300003245
195,255,170,4,2,3,0.00231299991719
196,192,220,19,2,2,0.0236200001091
197,318,260,12,3,2,0.0677959993482
198,145,30,38,3,3,0.00392600009218
199,34,9,1731,2,3,0.00741400010884
200,271,438,6,2,2,0.0207219999284
201,367,308,5,3,2,0.0289939995855
202,408,259,5,3,2,0.0273150000721
203,12,218,81,2,3,0.00282899988815
204,353,76,5,3,2,0.00682599982247
205,2,189,469,2,2,0.00521200010553
206,387,444,5,3,3,0.0201709996909
207,209,115,13,3,2,0.0162090007216
208,211,395,8,2,3,0.00875699985772
209,46,123,24,2,2,0.0039889998734
210,359,367,2,2,3,0.00695300009102
211,448,37,59,2,3,0.0252650007606
212,280,64,17,3,2,0.0169760007411
213,264,25,120,2,3,0.0102960001677
214,254,162,6,3,2,0.0125500001013
215,319,442,6,3,3,0.0197599995881
216,133,89,1,2,2,0.00037500000326
217,114,23,314,3,3,0.0178299993277
218,13,86,876,3,2,0.0458669997752
219,357,325,2,3,2,0.0121240001172
220,79,332,38,3,2,0.0507970005274
221,252,5,392,2,3,0.017216000706
222,109,289,25,3,2,0.0402220003307
223,368,377,3,3,2,0.0215000007302
224,421,342,3,2,3,0.00566799985245
225,306,134,1,3,2,0.00209200009704
226,236,2,1461,3,3,0.0252969991416
227,340,400,7,2,2,0.028110999614
228,424,39,5,3,3,0.00197000009939
229,149,144,18,2,2,0.0112460004166
230,152,376,12,2,3,0.00906500034034
231,101,22,285,3,3,0.0139520000666
232,372,234,3,2,2,0.00764499977231
233,19,420,49,2,3,0.00987400021404
234,158,232,19,2,3,0.0187439993024
235,372,400,3,3,2,0.0251950006932
236,256,377,5,2,2,0.0140730002895
237,447,113,8,2,2,0.0117910001427
238,334,113,16,3,2,0.0308589991182
239,66,402,18,2,3,0.0062910001725
240,52,93,30,2,3,0.00187200005166
241,228,38,12,2,3,0.00143699999899
242,269,400,7,2,3,0.00992100033909
243,250,70,42,2,2,0.0218279995024
244,371,258,2,2,2,0.00559299997985
245,120,45,45,3,2,0.0122419996187
246,36,330,10,2,3,0.00158299994655
247,406,421,1,2,2,0.00498799979687
248,113,317,13,3,2,0.0397429987788
249,224,411,7,3,2,0.0329799987376
250,412,6,149,3,2,0.0134840002283
251,303,81,35,2,2,0.0249470006675
252,138,421,8,3,2,0.0238230004907
253,336,440,5,2,3,0.00981799978763
254,269,403,6,2,2,0.0188769996166
255,291,171,1,2,2,0.0014609999489
256,61,355,44,2,2,0.0274580009282
257,323,419,2,3,3,0.00618099980056
258,11,441,150,2,2,0.0264219995588
259,78,118,100,3,3,0.0251630004495
260,341,132,1,2,2,0.00133899995126
261,385,224,11,2,3,0.0125430002809
262,252,15,94,3,3,0.00850499980152
263,198,198,4,2,2,0.00464899977669
264,435,230,9,3,2,0.0463819988072
265,369,183,13,3,2,0.0450440011919
266,374,41,27,3,3,0.00914399977773
267,383,15,13,3,3,0.00180399999954
268,409,122,7,2,2,0.0102899996564
269,187,426,7,3,3,0.0133220003918
270,1,33,797,3,3,0.00386000005528
271,46,152,118,3,2,0.0612590014935
272,229,214,6,3,2,0.0151420002803
273,365,167,3,2,3,0.0024600001052
274,43,322,65,2,3,0.011545999907
275,93,171,13,2,2,0.00598999997601
276,137,162,12,2,3,0.00350899994373
277,232,281,4,2,2,0.00770600000396
278,350,333,1,2,3,0.0015490000369
279,146,71,4,2,2,0.00123299995903
280,415,228,4,3,2,0.0196390002966
281,334,299,10,2,2,0.0290489997715
282,156,353,4,2,2,0.00651099998504
283,81,325,6,2,2,0.00456799985841
284,176,32,164,3,2,0.0618579983711
285,104,13,430,3,3,0.0126679996029
286,95,4,524,3,2,0.00556699978188
287,191,303,3,3,2,0.00893200002611
288,200,109,45,3,3,0.0225089993328
289,8,155,245,2,3,0.00460000010207
290,421,218,2,3,2,0.00941499974579
291,252,416,6,3,3,0.0144969997928
292,84,259,8,3,3,0.00401300005615
293,151,254,12,2,2,0.013469000347
294,204,350,14,2,3,0.013361999765
295,71,311,3,2,2,0.00193799997214
296,230,372,1,3,2,0.00440300023183
297,324,383,2,2,2,0.0072490000166
298,38,383,16,3,2,0.0116069996729
299,362,289,2,2,3,0.00548900011927
300,74,301,33,3,2,0.0457209981978
301,435,292,6,2,3,0.0101180002093
302,173,2,2544,3,2,0.0482090003788
303,21,2,12720,3,3,0.0211330000311
304,4,359,398,2,2,0.0168040003628
305,72,115,72,3,3,0.0137480003759
306,247,154,21,3,3,0.01862099953
307,357,361,4,2,2,0.0149919996038
308,163,294,6,2,2,0.00835900008678
309,236,341,3,2,2,0.0140620004386
310,130,192,35,3,3,0.0203889999539
311,118,240,33,3,2,0.0471450015903
312,322,109,17,2,2,0.0175519995391
313,233,19,41,2,2,0.00512799993157
314,23,425,74,3,3,0.0152860004455
315,35,124,47,3,2,0.0102669997141
316,211,28,109,3,3,0.0146779995412
317,293,43,46,2,2,0.0168260000646
