,input_size_h,input_size_w,channels,filter_count,filter_size,stride,runtime
147,219,20,20,137,4,2,0.0987799987197
148,20,33,53,219,10,1,0.689360976219
149,8,53,219,85,6,1,0.380820006132
150,13,13,53,53,4,2,0.00687299994752
151,53,8,137,53,4,2,0.0390579998493
152,3,219,33,3,2,1,0.0047570001334
153,20,33,137,8,8,2,0.0809760019183
154,33,13,20,53,4,1,0.0198299996555
155,3,13,8,5,2,2,0.000220000001718
156,137,33,5,8,2,2,0.0025649999734
157,53,137,85,3,8,2,0.619251012802
158,5,13,5,33,4,2,0.00045299998601
159,5,85,13,53,4,1,0.0117910001427
160,53,3,5,33,2,1,0.000734000001103
161,219,137,5,8,8,1,0.700092017651
162,8,8,53,33,6,2,0.00707700010389
163,137,20,219,137,8,2,1.84413301945
164,33,20,13,3,2,2,0.000904000014998
165,20,20,33,5,8,2,0.0122509999201
166,13,8,5,8,6,2,0.000552000012249
167,33,85,85,33,8,1,1.33346199989
168,137,8,33,137,4,2,0.0421180017292
169,8,5,20,8,2,2,0.000292999990052
170,85,85,351,219,6,2,7.30168008804
171,13,20,33,5,4,1,0.00967600010335
172,33,8,219,219,2,2,0.0338150002062
173,219,20,8,3,8,1,0.120578996837
174,8,13,5,33,2,1,0.000610999995843
175,13,33,351,20,6,2,0.109578996897
176,137,85,53,3,4,1,0.689576983452
177,137,85,53,8,6,2,0.400956988335
178,53,33,3,137,4,2,0.00954699981958
179,13,219,53,3,8,2,0.105870001018
180,53,219,20,53,4,2,0.135711997747
181,85,33,53,8,6,2,0.0907270014286
182,53,85,3,5,8,1,0.0587420016527
183,20,20,219,33,4,2,0.0477700009942
184,137,8,13,5,2,1,0.00452300021425
185,85,33,33,13,8,1,0.405063003302
186,137,33,53,53,8,1,1.69069302082
187,53,33,351,8,6,2,0.361423999071
188,85,33,5,5,4,2,0.00479099992663
189,219,33,53,8,6,1,0.922619998455
190,33,137,13,8,2,2,0.00538899982348
191,85,137,8,20,4,1,0.149347007275
192,20,20,219,219,8,2,0.508817017078
193,85,33,53,13,10,1,0.909431993961
194,137,3,5,8,2,2,0.000357999990229
195,219,137,3,3,2,1,0.034566000104
196,219,13,13,53,8,2,0.0530430004001
197,219,8,5,8,4,2,0.00331600010395
198,20,20,13,20,2,2,0.000901999999769
199,137,20,13,5,10,1,0.170822992921
200,20,219,219,20,8,2,1.11507701874
201,137,85,85,53,4,1,2.10303211212
202,20,13,351,3,8,2,0.0658280029893
203,137,33,53,20,8,2,0.288008987904
204,219,8,13,5,6,2,0.012422000058
205,53,219,3,3,8,1,0.144545003772
206,137,85,85,3,6,1,2.38492107391
207,219,53,13,85,2,1,0.175165995955
208,53,137,33,33,2,1,0.120852001011
209,53,137,13,53,10,1,1.06480300426
210,20,53,5,13,4,2,0.00240000011399
211,20,20,33,20,8,1,0.0457100011408
212,137,20,137,8,4,1,0.426757991314
213,53,53,85,137,4,1,0.912598013878
214,85,137,53,8,2,1,0.192252993584
215,137,53,20,13,10,2,0.257829010487
216,13,219,85,20,6,1,0.601485013962
217,13,85,351,53,8,2,0.552974998951
218,85,5,3,13,2,1,0.000877999991644
219,137,33,8,20,4,2,0.0152319995686
220,137,13,8,13,2,1,0.00639700004831
221,53,137,5,20,10,1,0.278048992157
222,137,85,137,219,4,1,8.50186157227
223,8,5,8,20,2,1,0.000361999991583
224,137,53,13,20,8,2,0.123429000378
225,53,13,3,20,2,2,0.000607999972999
226,20,137,351,3,4,1,1.03702497482
227,137,13,85,5,8,1,0.437981009483
228,219,5,137,53,4,2,0.0723629966378
229,219,53,53,3,2,2,0.0473949983716
230,33,13,20,20,10,1,0.0303980000317
231,20,20,20,33,2,1,0.00453899987042
232,20,53,20,219,8,1,0.331117987633
233,219,13,219,20,8,2,0.557210981846
234,85,53,8,137,2,1,0.0805630013347
235,13,13,8,33,8,1,0.00522200018167
236,33,85,3,53,2,1,0.0160080008209
237,137,33,137,8,4,1,0.716798007488
238,13,20,53,53,4,2,0.00955200009048
239,20,13,8,13,2,2,0.000448000006145
240,137,33,5,13,2,2,0.00322500010952
241,33,20,13,5,2,1,0.00294300005771
242,219,8,3,33,4,2,0.00376800005324
243,137,20,3,33,4,1,0.0210580006242
244,53,219,5,219,8,2,0.325314998627
245,219,5,3,20,4,2,0.00157600000966
246,5,13,33,137,4,1,0.010271999985
247,85,219,20,8,8,2,0.412097990513
248,20,137,5,5,10,1,0.0672409981489
249,20,85,3,137,4,2,0.0095119997859
250,85,85,85,13,4,2,0.208146005869
251,137,13,13,137,8,2,0.0605060011148
252,137,85,20,33,6,2,0.230020001531
253,219,137,137,8,10,1,28.0500354767
254,8,219,8,8,6,2,0.00817800033838
255,5,53,351,13,4,2,0.0322359986603
256,5,219,20,53,2,1,0.0133959995583
257,219,85,3,137,6,1,0.621092021465
258,53,20,20,137,10,1,0.306243002415
259,13,137,53,8,2,1,0.0297069996595
260,8,5,351,33,4,1,0.0326559990644
261,33,219,351,8,2,1,0.734615981579
262,20,137,351,20,2,1,0.335758000612
263,53,13,20,53,10,1,0.0788170024753
264,8,5,13,219,4,2,0.00402100011706
265,13,13,85,13,6,2,0.0115879997611
266,53,13,8,85,6,2,0.00912099983543
267,13,5,33,13,2,1,0.000882000022102
268,8,13,20,5,2,2,0.000385999999708
269,85,8,33,53,2,2,0.00425500003621
270,20,5,20,20,4,1,0.00310599990189
271,5,13,85,5,4,2,0.00224999990314
272,137,20,219,219,2,1,0.826471984386
273,219,85,219,5,4,1,4.72274923325
274,137,85,219,53,10,1,29.5282535553
275,53,53,53,137,4,1,0.5873259902
276,219,85,33,137,8,1,8.62793445587
277,20,137,13,13,2,1,0.0149379996583
