,input_size_h,input_size_w,channels,filter_count,filter_size,stride,runtime
0,219,5,8,219,2,2,0.00501699978486
1,219,33,13,8,2,1,0.0239090006799
2,85,53,85,8,2,2,0.0232139993459
3,137,53,3,20,8,2,0.0244340002537
4,53,53,5,219,8,1,0.222450003028
5,13,85,351,20,2,1,0.100323997438
6,85,20,20,219,2,1,0.0522460006177
7,5,20,13,20,4,1,0.0015640000347
8,13,20,137,53,8,1,0.125834003091
9,219,13,351,33,6,1,2.23560190201
10,137,219,3,3,2,1,0.0252349991351
11,13,13,85,13,4,2,0.00419900007546
12,219,53,85,85,6,2,1.08352899551
13,219,13,351,3,8,1,2.05653095245
14,33,33,13,5,10,2,0.0132360002026
15,8,5,219,3,4,2,0.0031659998931
16,20,20,8,13,4,1,0.00363799999468
17,13,33,85,137,6,1,0.181050002575
18,13,8,5,3,2,2,0.000176000001375
19,20,8,33,20,2,2,0.00070199999027
20,85,20,3,137,8,2,0.0150560000911
21,33,3,85,13,2,2,0.000855999998748
22,219,219,20,219,6,2,2.21762704849
23,8,137,5,8,4,1,0.00524399988353
24,8,53,137,13,6,2,0.0287050008774
25,53,85,351,3,8,2,1.15700995922
26,20,33,13,20,2,1,0.00312900007702
27,137,8,20,3,6,1,0.0275260005146
28,8,33,53,13,6,1,0.0200030002743
29,137,20,3,219,6,2,0.0248980000615
30,219,53,3,85,4,2,0.0317910015583
31,85,53,219,219,6,1,8.18799304962
32,53,85,13,8,4,2,0.0150089999661
33,13,33,219,85,10,1,0.506941020489
34,3,137,5,219,2,1,0.00511799985543
35,33,33,219,53,2,2,0.0258740000427
36,137,20,137,53,6,1,1.13605797291
37,137,219,3,8,4,2,0.0238359998912
38,8,8,137,20,2,1,0.00279400008731
39,33,33,3,13,4,2,0.00118200003635
40,20,20,137,85,2,1,0.0310500003397
41,13,53,53,3,6,1,0.0521220006049
42,219,137,137,8,6,2,2.01290488243
43,219,13,3,137,8,1,0.0723500028253
44,33,85,8,8,6,1,0.0441230013967
45,5,85,5,137,2,2,0.00118000002112
46,8,85,53,85,4,2,0.0218870006502
47,20,33,5,137,10,1,0.0407130010426
48,13,85,219,219,4,1,0.915468990803
49,13,53,5,33,4,1,0.00555700017139
50,85,5,5,219,4,2,0.00347799994051
51,20,13,3,20,4,1,0.00119600002654
52,85,33,20,3,8,2,0.0403290018439
53,8,53,85,33,6,2,0.0250519998372
54,20,8,33,3,4,1,0.00429200008512
55,137,85,13,53,6,2,0.139749005437
56,85,33,85,33,4,1,0.304374992847
57,33,219,13,20,6,1,0.213890999556
58,13,20,13,5,2,2,0.000356000004103
59,20,53,53,5,10,2,0.0500410012901
60,85,219,137,137,4,1,7.23559522629
61,8,219,13,85,6,2,0.0227799993008
62,13,137,85,53,8,1,0.590358018875
63,137,85,20,33,4,2,0.082714997232
64,13,20,33,137,6,1,0.0462630018592
65,53,33,13,8,10,1,0.0984240025282
66,137,33,20,33,10,2,0.146222993731
67,53,137,20,8,2,2,0.00965800043195
68,8,85,219,33,6,1,0.277386009693
69,13,13,3,53,2,1,0.000784999981988
70,85,20,20,85,2,2,0.00672599999234
71,219,53,3,3,6,1,0.0651379972696
72,219,85,8,53,2,1,0.115617997944
73,137,8,3,53,2,1,0.00418800022453
74,137,137,33,137,6,1,3.86583805084
75,8,8,5,8,6,1,0.000536000006832
76,20,5,219,53,2,1,0.00959299970418
77,53,219,85,137,8,2,2.52244710922
78,137,20,219,5,2,2,0.034929998219
79,20,53,219,85,10,2,0.546064972878
80,13,53,219,5,2,2,0.00823900010437
81,33,13,351,33,10,2,0.187021002173
82,3,33,85,219,2,1,0.0107300002128
83,20,85,137,8,4,1,0.198301002383
84,137,219,85,53,6,1,8.92682266235
85,3,3,3,85,2,1,0.00023799999326
86,137,13,137,13,4,2,0.057936001569
87,85,219,20,20,8,2,0.379189014435
88,8,13,351,137,4,2,0.0511760003865
89,3,219,13,137,2,2,0.00236000004224
90,8,137,20,53,4,1,0.0360860005021
91,8,219,53,20,4,1,0.0911799967289
92,53,219,5,13,6,1,0.140158995986
93,13,5,351,13,4,2,0.00861100014299
94,3,20,33,3,2,2,0.000239999993937
95,53,137,219,20,6,2,0.899459004402
96,219,33,20,219,2,2,0.0579399988055
97,20,20,20,85,2,1,0.00595899997279
98,137,85,13,53,2,2,0.0239140000194
99,85,53,53,137,10,2,0.878098011017
100,13,20,20,137,2,1,0.00541300000623
101,33,13,8,20,4,2,0.00118999998085
102,137,137,85,8,2,1,0.364125013351
103,13,137,85,137,2,2,0.0300350002944
104,3,53,53,33,2,2,0.00107799994294
105,20,20,85,5,8,2,0.022920999676
106,137,13,53,219,6,1,0.682250976562
107,219,219,13,20,4,1,0.712348997593
108,53,219,351,219,8,2,14.6338148117
109,219,219,3,5,6,2,0.0742300003767
110,219,3,219,85,2,2,0.0176810007542
111,20,33,53,20,10,2,0.0454990006983
112,3,20,85,3,2,1,0.00104899995495
113,20,85,137,13,4,1,0.224611997604
114,8,8,13,8,6,1,0.00115999998525
115,13,85,5,137,6,2,0.00968199968338
116,3,53,5,33,2,2,0.000288999988697
117,20,33,351,8,8,1,0.539767026901
118,33,137,20,219,8,2,0.314606010914
119,8,53,53,5,2,2,0.00158299994655
120,53,33,219,5,10,1,1.47809898853
121,53,20,20,3,10,2,0.018056999892
122,3,13,5,219,2,1,0.000716999988072
123,219,5,33,137,4,2,0.0268029998988
124,137,137,53,20,6,2,0.584713995457
125,53,8,5,85,2,2,0.0010150000453
126,137,85,20,13,2,1,0.0666840001941
127,137,13,33,20,10,1,0.176684007049
128,8,8,8,20,4,1,0.000820000015665
129,85,33,3,3,8,2,0.00649699987844
130,13,137,8,85,2,1,0.0150429997593
131,53,13,137,20,8,1,0.229647994041
132,53,85,351,219,2,2,0.423842012882
133,137,5,33,219,4,1,0.0855719968677
134,85,219,219,5,8,1,13.2556734085
135,85,85,137,5,2,2,0.0572220012546
136,3,53,219,33,2,1,0.00930400006473
137,53,53,33,8,2,1,0.0228289999068
138,85,33,13,53,2,2,0.00574100017548
139,53,85,13,137,10,1,0.876742005348
140,33,219,20,20,8,1,0.518853008747
141,3,219,53,20,2,2,0.00217900006101
142,219,85,20,8,2,2,0.0240630004555
143,33,33,53,219,4,2,0.0769580006599
144,33,20,13,85,10,1,0.0652950033545
145,8,85,8,20,2,1,0.00212500011548
146,8,8,351,219,6,2,0.174899995327
147,20,53,137,20,8,1,0.43833398819
148,20,219,85,33,2,1,0.124481000006
149,13,219,3,5,10,1,0.0240499991924
150,85,5,53,33,2,1,0.00701900012791
151,85,53,3,3,8,1,0.042881000787
152,219,53,8,219,2,1,0.232056006789
153,53,20,219,33,6,2,0.165113002062
154,20,33,20,3,4,2,0.00326499994844
155,8,8,20,33,4,1,0.00229400000535
156,20,85,3,85,6,2,0.00754800019786
157,219,13,219,3,8,1,1.2841360569
158,13,53,351,13,2,2,0.0150349996984
159,8,137,85,8,6,2,0.0358910001814
160,85,137,8,137,10,2,0.391057997942
161,20,137,219,53,6,1,1.79897594452
162,219,53,85,13,2,2,0.0662470012903
163,33,219,137,219,6,1,8.17882347107
164,53,85,20,33,2,1,0.0372220017016
165,53,219,13,20,6,2,0.0906860008836
166,13,33,3,20,4,1,0.00185400003102
167,85,85,3,85,4,1,0.0789960026741
168,219,13,53,219,4,2,0.157248005271
169,33,5,8,137,4,2,0.002015999984
170,53,219,137,3,2,2,0.0884369984269
171,13,53,137,20,2,2,0.00664700008929
172,8,8,8,219,4,1,0.00394500000402
173,85,85,20,13,4,2,0.0402520000935
174,8,13,85,8,6,2,0.00494500016794
175,13,137,13,13,8,1,0.0579110011458
176,3,8,20,5,2,1,0.000250999990385
177,53,13,351,3,10,2,0.143132001162
178,85,85,5,85,8,1,0.301939994097
179,137,13,53,20,10,1,0.284703999758
180,85,53,20,13,6,2,0.0494010001421
181,33,33,85,219,8,2,0.338836997747
182,53,85,137,3,4,2,0.129939004779
183,33,33,85,137,6,1,0.514801979065
184,137,5,137,13,2,2,0.00557400006801
185,3,20,33,20,2,2,0.000411999993958
186,53,53,351,33,10,2,1.59621298313
187,219,219,53,5,10,2,3.32120394707
188,33,13,53,219,8,2,0.0851830020547
189,53,20,20,33,6,2,0.0152129996568
190,137,137,53,33,10,2,1.84373700619
191,20,85,8,85,6,1,0.0627290010452
192,85,219,13,137,6,1,1.58169996738
193,53,53,53,5,8,2,0.111365996301
194,137,137,5,33,4,1,0.157003998756
195,20,33,33,20,2,1,0.00659100012854
196,8,137,5,8,6,1,0.00780100002885
197,137,13,33,8,8,1,0.136957004666
198,20,33,351,8,8,2,0.151840999722
199,85,13,20,8,4,1,0.0202019996941
200,85,20,85,20,6,2,0.0796590000391
201,219,85,5,13,8,1,0.373378008604
202,8,33,137,8,6,1,0.0444360002875
203,85,85,53,8,6,2,0.183278992772
204,137,85,8,219,8,1,1.46799898148
205,137,85,5,219,6,1,0.625638008118
206,13,8,33,33,4,1,0.0046910000965
207,219,137,13,85,6,2,0.465950012207
208,33,8,219,5,2,1,0.0118209999055
209,33,137,5,219,6,1,0.230088993907
210,219,33,5,8,2,2,0.00301399989985
211,5,85,8,33,4,2,0.00133500003722
212,20,33,219,33,6,2,0.103704996407
213,8,137,3,33,6,1,0.00764499977231
214,219,33,53,85,2,2,0.0578499995172
215,219,13,20,53,8,2,0.060042001307
216,85,33,33,3,8,2,0.0736730024219
217,8,85,85,5,6,1,0.0728299990296
218,85,20,8,85,10,1,0.11715400219
219,20,219,85,20,4,1,0.386361002922
220,8,8,13,5,4,2,0.00044999999227
221,8,33,20,20,4,2,0.0020530000329
222,20,53,85,5,2,2,0.00557200005278
223,137,219,137,85,10,1,48.1695709229
224,8,8,13,13,6,1,0.00144699995872
225,137,137,219,53,10,1,36.4164886475
226,8,20,85,3,6,1,0.0155969997868
227,219,8,3,20,6,1,0.00970700010657
228,33,53,20,219,8,2,0.121211998165
229,137,33,85,3,8,2,0.270783990622
230,33,137,20,85,6,2,0.102445997298
231,13,219,5,13,8,2,0.00985100027174
232,20,13,13,137,2,2,0.00142900005449
233,53,13,53,5,6,1,0.0643189996481
234,85,219,20,53,2,2,0.0517349988222
235,13,137,137,33,10,1,0.892359972
236,53,20,219,13,8,2,0.185246005654
237,53,219,33,8,8,2,0.30642798543
