,input_size_h,input_size_w,channels,filter_count,filter_size,stride,runtime
0,33,53,85,53,10,2,0.232819005847
1,33,219,8,219,8,2,0.172841995955
2,53,137,20,8,8,1,0.371921002865
3,137,137,351,20,8,1,21.1388645172
4,20,13,219,13,10,1,0.104176998138
5,85,33,137,137,10,1,4.00476884842
6,5,137,5,20,4,1,0.00312100001611
7,20,13,219,20,2,1,0.0116769997403
8,219,8,53,53,4,2,0.0338510014117
9,33,137,219,137,6,1,4.52857303619
10,3,219,33,219,2,2,0.00542100006714
11,33,137,137,53,6,2,0.413480013609
12,33,5,13,137,2,2,0.000845999980811
13,13,137,8,219,2,1,0.027662999928
14,20,33,85,20,6,1,0.088463999331
15,85,8,137,33,4,1,0.0881439968944
16,8,137,5,137,2,1,0.00899400003254
17,20,85,5,5,10,1,0.03540699929
18,33,219,3,85,4,2,0.0159479994327
19,219,13,20,20,4,2,0.0133109996095
20,137,53,3,5,8,2,0.0159549992532
21,8,85,85,20,6,2,0.0234559997916
22,3,3,219,53,2,1,0.00256299995817
23,53,8,33,3,2,2,0.000771999999415
24,219,137,351,137,6,2,13.0173044205
25,219,20,85,53,4,2,0.12551599741
26,219,20,8,137,10,2,0.0948309972882
27,219,53,85,53,4,1,1.27365195751
28,53,137,219,5,4,1,1.13155603409
29,53,53,137,53,6,1,1.01676404476
30,219,33,8,3,6,1,0.0848039984703
31,137,13,8,33,10,1,0.0445419996977
32,8,20,3,5,4,2,0.000236000007135
33,85,20,85,8,4,1,0.101469002664
34,33,53,53,219,2,2,0.023785000667
35,219,85,8,33,2,1,0.0660940036178
36,53,85,20,5,2,2,0.00457100011408
37,219,33,20,53,6,2,0.101346999407
38,137,219,137,53,4,2,1.33525800705
39,20,85,13,219,2,2,0.00901999976486
40,137,137,8,53,6,2,0.117600001395
41,85,5,53,85,2,2,0.00281500001438
42,137,219,85,3,8,1,6.60589981079
43,219,13,33,20,8,1,0.20334200561
44,20,8,351,3,4,1,0.0340549983084
45,219,33,33,13,4,2,0.0507629998028
46,5,8,20,8,2,2,0.00017499999376
47,8,219,33,13,6,2,0.0202600006014
48,13,33,13,20,8,1,0.0184080004692
49,13,85,137,33,8,1,0.385026991367
50,219,33,351,3,4,1,1.68457400799
51,5,33,351,33,4,2,0.0204540006816
52,5,8,351,53,4,2,0.017100000754
53,20,33,5,13,6,1,0.00545400008559
54,219,13,33,53,4,1,0.121179997921
55,85,33,33,219,10,1,1.40547597408
56,20,20,351,137,8,1,0.852419018745
57,13,5,351,219,2,1,0.0248160008341
58,13,219,137,219,10,2,1.01133704185
59,13,33,3,3,8,1,0.00216399994679
60,219,33,5,3,6,2,0.0146190002561
