,input_size_h,input_size_w,channels,filter_count,filter_size,stride,runtime
147,53,562,562,53,2,2,1.36890995502
148,33,5,562,137,4,1,0.212837994099
149,85,85,33,137,8,2,0.511241972446
150,8,5,33,20,2,2,0.000292999990052
151,137,13,137,13,4,1,0.198452994227
152,137,219,20,219,8,2,1.89818799496
153,85,562,85,8,6,1,6.36307477951
154,5,20,20,1441,2,2,0.00827599968761
155,33,53,20,85,2,1,0.0210839994252
156,137,85,219,219,8,2,7.57037496567
157,33,53,5,1441,2,1,0.165515005589
158,53,351,562,900,6,2,62.1998405457
159,351,20,53,137,6,1,1.6523989439
160,13,219,562,900,10,1,51.6723670959
161,137,219,351,137,4,1,23.7536754608
162,33,85,562,8,4,1,1.1032910347
163,53,85,219,219,2,1,0.819365024567
164,562,33,8,562,4,1,1.45936894417
165,85,20,562,351,8,1,13.4011011124
166,219,8,20,351,2,2,0.0184770002961
167,20,219,33,219,6,1,0.932856023312
168,8,20,33,5,6,1,0.00527099985629
169,20,13,53,85,2,1,0.00653999997303
170,20,85,137,33,6,1,0.460433006287
171,53,219,5,33,8,1,0.23642000556
172,219,85,5,137,2,2,0.0426440015435
173,219,562,900,85,10,2,273.780059814
174,85,3,5,900,2,1,0.0101640000939
175,53,20,13,85,8,1,0.06774199754
176,20,8,219,8,6,2,0.0145640000701
177,13,85,219,562,2,1,0.458095997572
178,33,3,33,33,2,2,0.000480999995489
179,33,85,900,137,4,1,5.57170391083
180,351,85,13,20,4,2,0.0920900031924
181,85,33,3,5,8,2,0.00550499977544
182,13,5,85,33,2,2,0.00077699997928
183,219,3,8,85,2,2,0.00103699997999
184,33,219,1441,33,8,2,9.11187744141
185,8,13,8,13,2,2,0.000192000006791
186,137,351,8,137,4,1,1.13935005665
187,137,351,219,1441,4,2,46.9647674561
188,8,20,5,900,4,2,0.00733500020579
189,8,20,3,3,2,2,0.000144000005093
190,33,562,8,33,10,1,0.789593994617
191,13,351,13,137,2,1,0.0582269988954
192,562,85,33,20,6,2,0.748242020607
193,562,33,8,85,4,1,0.304192990065
194,85,85,900,20,2,2,0.34993699193
195,5,351,562,3,4,1,0.548677027225
196,20,351,1441,8,8,1,21.5828533173
197,53,8,137,13,2,1,0.0110729997978
198,20,137,33,562,4,1,0.702040970325
199,85,562,8,1441,2,1,4.81845712662
200,13,219,85,85,4,2,0.100210003555
201,13,85,900,3,6,2,0.29250100255
202,85,5,351,137,2,2,0.0231040008366
203,33,219,20,562,8,2,0.924814999104
204,85,85,5,8,2,1,0.00921600032598
205,53,3,20,137,2,1,0.0023640000727
206,8,8,562,900,6,1,1.21374595165
207,219,8,13,900,2,2,0.0363240018487
208,8,13,33,562,6,2,0.0455470010638
209,20,351,85,5,8,2,0.355089008808
210,8,85,562,85,2,1,0.160441994667
211,33,33,351,13,2,1,0.0761969983578
212,85,13,3,53,10,1,0.0136909997091
213,85,85,20,3,4,1,0.100666999817
214,137,219,13,3,4,2,0.0801969990134
215,53,13,5,53,4,2,0.00162700004876
216,53,33,5,351,8,1,0.156451001763
217,219,562,13,53,6,1,4.77173519135
218,351,137,33,3,2,2,0.0720269978046
219,85,351,33,8,6,1,1.54169595242
220,8,5,219,3,4,2,0.00239400006831
221,85,33,1441,13,4,1,3.15578198433
222,13,33,351,8,8,1,0.234696000814
223,13,137,85,219,2,2,0.0350360013545
224,562,20,53,85,4,2,0.264266014099
225,137,53,8,351,6,1,0.698117017746
226,3,33,351,33,2,1,0.00828200019896
227,20,219,137,85,2,2,0.0702340006828
228,85,219,3,85,2,2,0.0243500005454
229,20,85,5,3,6,1,0.0126029998064
230,3,8,219,3,2,2,0.000585999980103
231,33,562,13,33,2,1,0.0882629975677
232,351,219,137,5,10,2,11.1688652039
233,562,13,85,219,4,2,0.490929991007
234,351,562,351,562,4,2,127.259788513
235,13,351,5,53,4,1,0.0376860015094
236,219,3,351,8,2,1,0.0287929996848
237,53,562,900,85,4,1,43.4348258972
238,562,351,900,20,6,2,85.3600234985
239,85,53,13,3,6,1,0.0857980027795
240,13,219,1441,219,4,2,3.26810789108
241,33,20,13,3,8,2,0.00446600001305
242,8,33,53,5,2,2,0.000859999970999
243,219,137,137,13,6,1,7.23891115189
244,3,219,33,351,2,2,0.00831599999219
245,219,13,13,3,4,1,0.0261780004948
246,33,351,351,33,10,1,20.463224411
247,20,20,1441,13,4,2,0.133331999183
248,53,351,137,33,8,2,2.3944029808
249,13,137,33,5,8,2,0.0252780001611
250,5,13,85,20,4,2,0.00194500002544
251,53,20,13,137,2,2,0.00393899995834
252,20,53,85,5,8,1,0.178112000227
253,219,137,1441,8,10,1,178.91545105
254,219,137,1441,351,2,1,52.1380348206
255,33,351,562,562,6,1,96.5575790405
256,33,137,219,85,4,2,0.417724996805
257,33,13,3,5,10,1,0.00242600007914
258,33,53,900,85,6,1,5.13643503189
259,351,20,562,8,10,1,11.4156999588
260,20,137,1441,33,6,1,7.78321123123
261,137,219,219,219,6,2,11.5908632278
262,53,13,3,53,10,2,0.00270600011572
263,562,85,3,1441,8,2,2.98062992096
264,219,33,900,3,2,1,1.09337699413
265,33,33,3,562,6,1,0.0682720020413
266,219,33,8,900,6,1,1.60879504681
267,137,137,219,137,2,1,2.42450094223
268,351,219,219,219,6,1,119.980522156
269,20,53,1441,53,6,2,1.04024398327
270,219,20,33,137,6,1,0.647897005081
271,85,20,137,53,2,1,0.0781299993396
272,351,137,900,8,4,1,30.8352870941
