,input_size_h,input_size_w,channels,filter_count,filter_size,stride,runtime
0,5,13,562,219,4,2,0.0970500037074
1,5,8,85,53,2,2,0.00140499998815
2,53,562,351,137,8,1,105.35836792
3,13,33,85,13,8,1,0.0800300016999
4,53,85,3,137,6,1,0.109189003706
5,13,13,8,20,8,1,0.00302900001407
6,20,351,900,33,8,2,6.54580211639
7,351,351,20,13,6,1,5.53725099564
8,219,219,900,20,10,1,268.368255615
9,13,85,85,33,2,2,0.00819199997932
10,562,137,1441,351,6,2,362.201141357
11,5,20,137,137,2,2,0.00626900000498
12,85,33,5,137,4,2,0.0192660000175
13,53,137,1441,1441,8,1,802.627746582
14,219,53,53,13,4,1,0.610128998756
15,85,219,137,351,8,2,14.1248016357
16,85,351,13,8,10,2,0.492067009211
17,20,53,20,219,6,2,0.0512680001557
18,8,562,5,562,6,2,0.113398000598
19,85,33,85,137,8,1,2.18969011307
20,137,5,351,13,2,1,0.0514440014958
21,85,562,33,5,6,1,3.03082799911
22,20,219,351,137,6,1,8.21998214722
23,85,33,20,3,2,1,0.0129000004381
24,562,85,1441,5,10,1,342.9815979
25,13,219,20,85,4,2,0.032338000834
26,137,8,219,900,6,1,4.93432712555
27,8,562,33,1441,2,2,0.303674012423
28,562,137,137,5,8,2,8.91201782227
29,219,562,219,3,8,1,88.3885879517
30,562,33,13,219,2,1,0.454907000065
31,13,562,1441,562,4,2,22.4165096283
32,13,351,33,562,8,2,0.913416028023
33,351,33,33,13,10,2,0.467325985432
34,562,351,8,13,8,2,1.57329297066
35,3,137,8,53,2,2,0.000647999986541
36,33,53,8,5,2,1,0.00381199992262
37,85,20,900,8,4,2,0.341237992048
38,53,562,562,85,6,1,72.222038269
39,85,351,5,33,10,1,1.12983095646
40,53,8,1441,8,6,1,0.739633023739
41,85,33,1441,20,2,1,1.04383802414
42,33,562,5,1441,10,1,10.7494916916
43,137,53,85,13,2,2,0.042311001569
44,20,351,1441,900,6,2,73.076751709
45,219,85,20,13,10,2,0.523208022118
46,85,20,1441,219,10,1,38.151260376
47,137,8,562,5,4,1,0.480322986841
48,562,33,1441,85,4,1,52.9354858398
49,20,5,8,1441,4,2,0.0155159998685
50,85,8,20,351,2,1,0.0302360001951
51,85,562,53,351,6,2,8.34573841095
52,3,562,219,3,2,1,0.0547729991376
53,85,562,351,5,10,1,83.5357894897
54,8,13,5,900,4,1,0.0129589997232
55,20,562,33,53,8,2,0.487441003323
56,20,85,33,3,4,2,0.0126069998369
57,33,5,5,8,4,1,0.000829000025988
58,33,562,351,85,8,2,11.3283805847
59,562,85,351,351,2,1,25.3989620209
60,13,8,85,3,6,2,0.00417800014839
61,33,219,219,8,4,1,1.36927103996
62,351,53,8,562,8,1,5.21358108521
63,351,33,562,3,10,1,26.6184234619
64,85,20,5,351,10,1,0.213550999761
65,20,85,351,3,2,2,0.0326119996607
66,137,137,8,3,4,1,0.130478993058
67,8,562,900,3,4,2,0.882820010185
68,20,85,137,137,4,1,0.639815986156
69,53,85,8,53,6,2,0.0355740003288
70,53,53,20,3,10,1,0.229573994875
71,85,13,219,5,10,1,0.574554979801
72,33,20,20,1441,10,2,0.402271986008
73,562,20,562,5,4,1,5.30675888062
74,351,13,13,53,8,2,0.0625339969993
75,20,5,8,85,4,2,0.00112300005276
76,33,137,5,562,10,2,0.277397990227
77,562,219,33,1441,8,2,88.7144393921
78,137,562,53,85,6,2,4.67533922195
79,137,137,8,351,4,1,1.22973299026
80,33,351,137,33,6,1,4.18888998032
81,33,85,3,8,10,2,0.00984899979085
82,85,20,1441,219,6,1,18.5801296234
83,20,8,33,8,6,2,0.00284400000237
84,351,20,33,351,2,2,0.125641003251
85,53,33,5,3,2,2,0.000691999972332
86,20,20,562,13,2,1,0.0538210012019
87,137,137,1441,53,8,2,39.6176490784
88,5,53,562,5,2,2,0.00807799957693
89,351,85,3,20,4,2,0.0327970013022
90,33,351,8,8,6,2,0.0466590002179
91,20,219,1441,85,10,1,51.150604248
92,53,85,351,3,6,2,0.69618499279
93,20,8,53,8,4,2,0.00269900006242
94,219,8,53,5,6,2,0.0357180014253
95,20,137,13,33,8,1,0.140360996127
96,219,33,900,3,2,2,0.340151011944
97,85,20,3,1441,6,1,0.317378997803
98,53,53,900,219,4,1,9.86731338501
99,562,351,5,137,10,2,4.50476312637
100,33,137,5,3,2,1,0.00573599990457
101,351,20,85,1441,6,2,6.82164621353
102,5,351,33,562,2,1,0.149779006839
103,33,562,5,13,6,1,0.20414699614
104,33,137,3,3,2,1,0.00386700010858
105,5,3,219,137,2,2,0.00745999999344
106,137,85,219,8,2,1,0.564301013947
107,53,53,351,351,4,1,5.73317098618
108,351,5,85,137,2,1,0.098888002336
109,85,33,5,3,6,1,0.0261579994112
110,562,33,219,3,10,1,16.6937885284
111,53,85,85,137,6,1,2.25759506226
112,20,562,33,137,6,2,0.556888997555
113,85,85,85,53,8,1,3.46776294708
114,137,562,33,20,2,1,0.75686699152
115,20,85,5,13,4,1,0.00999899953604
116,219,351,20,53,8,1,9.5814371109
117,351,562,351,1441,6,1,
118,562,562,13,33,8,1,21.3146533966
119,85,8,8,53,2,2,0.00122700002976
120,219,219,33,219,6,1,14.345208168
121,562,351,5,3,4,1,0.879896998405
122,33,562,33,5,2,2,0.0363549999893
123,351,20,351,85,2,1,1.2449400425
124,219,5,20,900,2,2,0.0301229991019
125,33,20,900,53,10,1,3.2574300766
126,33,137,33,5,8,2,0.111419998109
127,351,85,900,33,4,2,8.54868984222
128,53,53,219,562,4,1,5.47238206863
129,13,351,33,20,10,2,0.119754001498
130,13,219,562,900,6,1,38.6900062561
131,219,20,351,900,2,2,1.44795703888
132,351,137,3,8,4,1,0.151295006275
133,137,53,900,53,6,2,5.43292188644
134,33,5,351,5,4,1,0.0424970015883
135,219,33,219,900,2,2,1.44731903076
136,85,137,219,562,10,2,31.8213825226
137,85,13,351,85,4,2,0.197938993573
138,219,351,33,562,2,1,7.87920808792
139,33,3,3,53,2,2,0.000243000002229
140,20,351,33,20,2,2,0.0189849995077
141,53,351,5,562,2,2,0.209728002548
142,137,85,33,85,8,1,2.91679000854
143,53,85,137,351,10,2,4.79297685623
144,20,33,351,1441,4,1,5.06492614746
145,13,137,53,1441,6,1,3.74242210388
146,8,85,33,5,4,2,0.00548300007358
147,219,219,137,20,4,1,6.98949193954
148,53,53,85,351,2,1,0.409029006958
149,53,53,20,53,10,2,0.113260999322
150,219,85,351,53,8,1,38.0239753723
151,33,13,33,137,6,1,0.0713780000806
152,33,20,53,219,8,1,0.390767008066
153,53,5,33,351,4,2,0.0216189995408
154,137,33,3,5,4,1,0.0133570004255
155,562,33,351,5,4,2,1.40441203117
156,219,351,351,13,8,2,25.9254894257
157,33,8,13,900,2,2,0.00884499959648
158,137,562,1441,8,6,1,215.328674316
159,219,53,137,900,4,2,5.58635902405
160,137,53,53,1441,10,2,11.2422027588
161,53,351,53,1441,10,2,29.0702953339
162,3,8,219,562,2,1,0.0359839983284
163,85,562,8,1441,8,2,8.49681472778
164,137,351,562,53,10,2,62.6391944885
165,351,20,219,33,2,2,0.13380600512
166,137,351,1441,900,2,2,60.3553466797
167,8,85,53,13,6,2,0.0170600004494
168,219,20,1441,1441,2,1,33.588973999
169,8,219,562,351,2,2,0.412851005793
170,5,5,85,562,4,2,0.0443420000374
171,53,562,5,85,6,1,0.757932007313
172,8,137,351,900,4,2,1.58284294605
173,5,3,20,8,2,2,0.000192999999854
174,20,137,5,562,4,2,0.0538939982653
175,219,85,13,8,6,2,0.130339995027
176,53,8,351,20,4,2,0.0454749986529
177,562,20,3,33,10,1,0.191297993064
178,13,33,562,219,10,2,1.22122597694
179,85,219,562,8,6,2,4.98548412323
180,13,5,20,3,4,1,0.00112100003753
181,8,33,3,8,2,1,0.000411999993958
182,85,20,137,3,6,1,0.37153300643
183,53,137,1441,20,8,1,38.848072052
184,13,8,53,5,4,2,0.00165200000629
185,53,53,562,3,6,2,0.690352022648
186,13,33,3,53,8,2,0.00194500002544
187,53,3,13,20,2,1,0.000722999975551
188,13,20,137,20,8,1,0.0766969993711
189,8,20,900,5,4,1,0.116471998394
190,33,351,85,137,4,2,0.699383020401
191,351,13,1441,20,10,2,5.08232307434
192,351,3,20,351,2,2,0.0101629998535
193,137,137,5,219,8,2,0.406255990267
194,20,562,33,137,6,1,2.07396602631
195,3,85,562,900,2,2,0.194416999817
196,20,13,33,351,4,1,0.0566480010748
197,53,351,1441,20,10,2,38.0427970886
198,562,219,1441,5,2,2,9.84813499451
199,137,8,219,33,6,2,0.143941000104
200,20,33,53,900,8,2,0.49393799901
201,137,20,5,3,8,2,0.00994300004095
202,33,219,33,53,6,2,0.199429005384
203,137,562,562,219,6,2,95.6113967896
204,20,53,20,20,6,2,0.0120590003207
205,85,562,33,33,8,2,1.92276704311
206,137,20,351,85,8,2,1.59036195278
207,85,20,33,53,4,2,0.0249029994011
208,33,13,8,13,8,2,0.00244299997576
209,85,137,3,33,8,2,0.0480250008404
210,85,85,351,8,8,1,8.00009632111
211,13,8,351,33,6,1,0.0796699970961
212,13,5,5,13,4,1,0.000475000008009
213,137,20,900,900,8,2,28.008600235
214,13,562,351,219,6,1,17.7255172729
215,33,53,13,20,2,2,0.00217800005339
216,8,13,13,137,2,2,0.000803000002634
217,53,562,13,8,2,2,0.0250330008566
218,20,20,20,900,10,2,0.187639996409
219,562,85,3,20,8,2,0.157303005457
220,137,562,85,219,4,2,6.74181699753
221,351,137,53,900,6,2,19.9149894714
222,20,562,137,219,4,1,5.99500083923
223,5,3,53,562,2,1,0.00799299962819
224,351,85,5,351,4,1,1.45124900341
225,351,562,1441,8,4,1,
226,351,562,20,562,8,1,142.636154175
227,53,219,20,3,6,2,0.106985002756
228,20,53,900,900,10,2,16.929857254
229,351,33,1441,53,2,2,1.62252902985
230,53,53,1441,351,10,1,115.421302795
231,3,137,8,3,2,1,0.000692999979947
232,3,20,3,1441,2,1,0.00498200021684
233,53,53,13,20,10,2,0.0495310015976
234,8,8,351,1441,2,2,0.14437200129
235,33,351,5,13,8,1,0.207497999072
236,219,562,219,33,4,1,34.5871772766
237,20,53,900,137,10,1,10.1062040329
238,137,85,351,33,2,1,1.31476294994
239,8,53,137,1441,4,2,0.481474995613
240,351,219,351,20,10,2,42.4107818604
241,20,8,3,3,6,2,0.000345000007655
242,562,351,351,219,6,1,614.503234863
243,5,20,1441,85,4,1,0.328633010387
244,53,137,13,85,6,2,0.113881997764
245,137,5,13,5,2,1,0.00265199993737
246,13,53,219,900,2,2,0.158428996801
247,137,8,33,562,4,1,0.329270988703
248,219,85,20,5,2,1,0.0880910009146
249,137,562,8,1441,4,1,19.0554866791
250,13,137,3,5,8,1,0.012972000055
251,137,20,137,562,4,1,3.32445502281
252,53,351,85,3,6,1,2.86057901382
253,33,137,351,219,4,2,1.61823296547
254,351,85,5,137,6,2,0.274958014488
255,219,20,13,20,6,1,0.121821001172
256,562,219,1441,900,8,2,
257,562,351,8,137,2,2,0.676962971687
258,351,562,20,33,4,2,1.36548197269
259,351,137,33,13,10,2,2.35258507729
260,85,53,562,137,2,2,0.453456997871
261,219,20,5,562,6,1,0.479968011379
262,562,20,137,33,8,2,1.61290001869
263,351,562,900,20,8,2,185.624221802
264,8,562,1441,1441,6,1,202.20854187
265,85,85,53,1441,8,1,30.3670043945
266,20,562,562,53,10,1,39.9763641357
267,85,137,3,85,10,1,0.443859010935
268,351,219,900,33,4,1,88.7318649292
269,33,137,20,5,6,1,0.163949996233
270,33,137,137,562,8,1,18.7171154022
271,351,20,3,137,10,1,0.274612993002
272,219,20,5,900,6,1,0.737241029739
273,562,13,137,33,2,2,0.0815559998155
274,137,562,85,562,10,2,87.4366836548
275,137,562,900,900,10,1,1324.85498047
276,20,33,33,20,6,2,0.0124300001189
277,219,13,1441,5,10,2,2.55476999283
278,85,20,13,8,10,2,0.0207529999316
279,20,33,8,85,2,1,0.00574199995026
280,5,351,13,219,4,1,0.0918880030513
281,13,8,53,33,4,1,0.00718400022015
282,20,20,5,1441,10,1,0.168121993542
283,85,8,900,219,4,2,0.719842970371
284,85,33,13,33,6,2,0.026264000684
285,137,20,53,351,6,1,1.68398594856
286,219,33,8,33,2,2,0.00822199974209
287,85,351,137,137,2,1,3.05646896362
288,20,5,1441,85,4,2,0.160593003035
289,8,20,1441,20,2,2,0.0233319997787
290,13,351,8,33,8,1,0.122326999903
291,8,351,33,900,4,2,0.389849990606
292,137,13,900,351,8,1,23.3212528229
293,8,137,351,562,4,1,3.18388390541
294,3,219,3,900,2,1,0.0283330008388
295,562,562,900,3,10,1,
296,5,562,85,33,2,1,0.0776780024171
297,562,562,219,5,10,1,371.932220459
298,20,13,5,53,2,1,0.00132399995346
299,20,351,13,33,8,2,0.100051999092
300,53,219,900,137,10,2,39.2426567078
301,137,562,1441,20,8,1,450.006225586
302,33,562,5,137,2,1,0.208276003599
303,20,85,562,562,10,2,10.3091812134
304,351,219,219,137,8,1,181.819335938
305,85,13,3,5,6,1,0.00567599991336
306,13,562,3,85,10,2,0.038805000484
307,20,562,13,8,6,2,0.0703139975667
308,85,85,20,5,8,1,0.47261801362
309,20,351,1441,20,10,2,11.6965532303
310,20,219,13,219,10,2,0.270000994205
311,8,13,900,900,2,2,0.194438993931
312,3,53,3,13,2,1,0.000307999987854
313,351,13,20,219,6,1,0.665858983994
314,33,33,900,900,8,1,41.9005203247
315,8,351,137,1441,4,1,7.61617803574
316,33,53,351,562,10,2,6.91882181168
317,8,53,562,137,6,1,1.02880299091
318,85,33,219,219,10,2,3.05575299263
319,85,85,562,33,10,2,6.96994781494
320,13,562,85,3,2,1,0.125535994768
321,137,53,1441,351,4,2,15.5468111038
322,219,8,351,562,2,1,1.3050839901
323,5,219,562,562,4,1,4.69480419159
324,53,219,33,562,10,1,18.3219070435
325,13,219,900,8,10,2,1.62975502014
326,20,219,351,562,10,2,15.5602807999
327,13,13,5,900,10,2,0.0292499996722
328,85,351,900,53,10,1,237.926834106
329,137,20,1441,1441,4,2,22.9020233154
330,219,219,3,900,6,1,6.60074186325
331,8,137,20,20,2,1,0.00674200011417
332,13,20,3,20,4,1,0.00117800000589
333,20,13,562,20,8,2,0.121092997491
334,5,20,53,33,2,2,0.000903000007384
335,20,137,85,5,10,2,0.216545000672
336,137,5,8,137,2,1,0.00767799979076
337,219,33,3,53,4,1,0.055133998394
338,20,8,3,351,4,2,0.00253699999303
339,13,20,1441,85,8,2,0.780067026615
340,8,13,562,351,2,2,0.0512179993093
341,20,33,33,1441,6,1,0.948123991489
342,20,219,85,3,6,1,0.598321974277
343,8,8,900,5,6,2,0.0361220017076
344,33,85,85,8,4,2,0.0529510006309
345,20,33,8,3,4,1,0.00472699990496
346,13,219,900,1441,10,1,160.475448608
347,351,85,219,5,8,2,5.36245679855
348,33,5,13,20,4,2,0.000874000019394
349,13,53,20,562,4,1,0.139243006706
350,20,85,562,53,6,2,0.799727022648
351,219,562,562,20,4,1,73.2931518555
352,20,137,3,1441,8,2,0.193900004029
353,20,33,137,900,10,1,4.6983537674
354,13,351,219,1441,6,2,9.92470645905
355,33,137,3,8,2,2,0.00141699996311
356,33,8,13,219,2,2,0.00234599993564
357,20,137,900,219,2,2,0.6589589715
358,137,20,137,351,2,1,0.587481021881
359,53,351,562,219,6,1,87.4979858398
360,5,13,219,562,4,2,0.0975069999695
361,562,33,351,900,4,1,87.6915512085
362,351,8,3,137,6,1,0.0472880005836
363,13,53,3,900,4,2,0.0161589998752
364,562,219,562,5,2,1,15.2684774399
365,33,13,1441,53,4,2,0.26362401247
366,219,137,137,351,4,1,24.6522731781
367,20,562,85,13,10,2,1.04785203934
368,351,13,3,351,10,2,0.0727389976382
369,8,137,219,137,6,1,0.983986020088
370,33,137,5,53,4,1,0.0487979985774
371,5,5,5,137,2,2,0.000342000013916
372,20,85,137,1441,6,1,9.80728912354
373,219,137,1441,8,8,1,144.163391113
374,137,562,33,53,6,2,2.25905609131
375,33,137,900,5,4,2,0.890123009682
376,20,8,8,13,6,2,0.000999000039883
377,13,219,137,3,10,2,0.236072003841
378,53,85,5,8,8,2,0.0192760005593
379,137,137,5,85,6,2,0.125801995397
380,351,219,33,1441,6,2,31.7017059326
381,20,85,13,3,2,1,0.00516200019047
382,20,13,53,900,4,1,0.207310006022
383,85,20,3,33,10,2,0.00806900020689
384,53,351,1441,53,4,1,41.2757301331
385,53,137,85,1441,4,1,13.6642656326
386,219,562,3,219,2,1,1.92511105537
387,219,13,351,351,8,2,3.97141695023
388,562,8,351,8,6,1,1.9730219841
389,8,5,219,33,2,2,0.00240099988878
390,137,53,3,351,6,2,0.100555002689
391,3,8,8,137,2,2,0.000437999988208
392,137,562,219,53,6,1,58.8491706848
393,3,137,351,562,2,2,0.0995749980211
394,8,13,8,562,2,2,0.00200000009499
395,85,20,3,900,8,1,0.260408997536
396,85,53,8,1441,4,2,0.278638988733
397,53,137,219,13,2,2,0.102941997349
398,13,13,5,85,2,2,0.000494999985676
399,13,13,3,1441,10,2,0.0290670003742
400,13,13,562,3,2,2,0.00514899985865
401,351,137,53,85,2,1,1.48498499393
402,351,33,562,85,2,2,0.840017020702
403,351,85,1441,13,10,2,60.1932487488
404,137,8,562,33,4,2,0.22016300261
405,8,33,219,900,2,2,0.0956209972501
406,5,8,3,562,2,2,0.000845999980811
407,351,562,900,33,10,1,1381.25634766
408,219,8,5,137,6,2,0.0138219995424
409,351,562,33,53,10,1,62.617816925
410,219,351,8,219,2,2,0.389306992292
411,137,85,8,900,6,1,3.32814693451
412,33,13,3,85,2,2,0.000791000027675
413,351,137,20,351,10,1,33.6328887939
414,85,53,33,85,4,1,0.329632997513
415,219,8,8,137,6,2,0.0211190003902
416,562,562,33,900,4,2,40.2814750671
417,33,85,900,8,4,2,0.548332989216
418,562,13,33,20,10,1,0.740783989429
419,53,53,137,33,4,1,0.497296005487
420,85,137,3,219,6,1,0.431778997183
421,13,8,219,53,6,1,0.0650369971991
422,562,13,562,219,10,1,47.0581207275
423,351,13,219,1441,10,2,16.5100746155
424,137,20,219,85,6,2,0.649694025517
425,33,562,20,900,2,2,0.54394698143
426,20,20,562,562,4,1,2.1159260273
427,20,85,20,20,10,1,0.14030200243
428,85,219,3,1441,8,1,5.65682315826
429,85,351,33,53,6,1,3.43222498894
430,562,53,351,20,2,2,0.698150992393
431,33,137,900,3,2,1,0.83932697773
432,13,562,13,900,2,2,0.161996006966
433,351,351,562,85,8,2,138.333862305
434,351,20,5,900,2,2,0.120846003294
435,20,53,33,137,10,1,0.382746994495
436,85,53,351,351,8,2,8.28213405609
437,85,351,5,900,8,2,2.28578400612
438,33,219,137,562,4,1,8.82320213318
439,13,351,8,351,6,1,0.455072999001
440,33,137,13,562,4,1,0.639154016972
441,85,85,3,33,8,1,0.113793000579
442,85,53,5,351,4,1,0.216597005725
443,562,13,8,137,10,1,0.503633022308
444,53,13,900,351,6,2,2.15028500557
445,85,137,8,562,8,2,0.85198199749
446,3,351,137,13,2,1,0.026488000527
447,8,219,20,1441,2,2,0.0882010012865
448,8,3,351,3,2,1,0.0026539999526
449,13,53,85,85,4,2,0.0356799997389
450,85,137,137,351,2,2,0.645303010941
451,85,3,219,562,2,2,0.0496749989688
452,53,351,219,1441,10,1,475.276153564
453,8,85,5,85,4,1,0.00931700039655
454,85,351,137,900,6,2,31.1186695099
455,53,20,3,900,6,2,0.0377259999514
456,562,85,8,351,6,1,5.83354187012
457,53,562,85,20,8,2,2.45239710808
458,351,351,5,20,2,2,0.0765359997749
459,351,3,900,5,2,1,0.143086001277
460,137,53,562,33,4,2,1.30549299717
461,137,33,33,33,2,2,0.0148430000991
462,137,562,137,900,4,1,148.824172974
463,219,219,13,351,6,2,2.22512388229
464,33,20,53,5,2,1,0.00813900027424
465,53,8,85,53,6,1,0.0839430019259
466,562,33,13,20,10,2,0.323540985584
467,33,3,562,562,2,2,0.0922970026731
468,53,53,1441,33,2,2,0.340301007032
469,20,137,219,13,8,1,1.74352502823
470,219,562,53,137,6,2,10.4230041504
471,20,351,13,20,8,2,0.0816090032458
472,137,13,137,33,10,2,0.253596007824
473,85,219,20,137,8,2,1.01342201233
474,20,219,20,562,8,1,2.43176293373
475,33,20,1441,351,8,1,15.580947876
476,219,13,33,33,2,1,0.0344580002129
477,351,562,1441,562,10,2,
478,562,53,562,562,4,1,149.412185669
479,85,33,13,137,6,1,0.227652996778
480,53,13,900,351,4,1,3.52592110634
481,53,137,8,562,2,1,0.355277985334
482,53,33,900,3,6,1,2.60667109489
483,20,85,3,85,2,2,0.0028760000132
484,13,33,351,900,10,1,5.97310400009
485,3,20,219,1441,2,1,0.121237002313
486,85,137,85,13,2,1,0.261961013079
487,85,562,137,20,10,2,10.0546989441
488,53,53,137,3,2,1,0.0824429988861
489,137,33,3,33,10,1,0.0935110002756
490,8,33,219,562,6,1,0.925491988659
491,20,85,3,5,2,2,0.00056900002528
492,137,13,219,20,6,1,0.714257001877
493,13,53,33,53,2,1,0.010658999905
494,5,53,13,1441,2,2,0.0123709999025
495,351,219,5,13,6,1,0.918569028378
496,13,3,3,5,2,1,0.000184000004083
497,33,3,351,219,2,1,0.0409750007093
498,13,562,351,351,8,2,9.61321926117
499,8,351,562,13,6,1,2.21700906754
500,33,351,5,5,8,1,0.178096994758
501,33,137,137,3,8,1,1.72394704819
502,20,13,5,20,8,2,0.00130100001115
503,20,20,351,219,8,1,1.51590502262
504,13,351,351,85,4,1,3.05417394638
505,562,137,3,900,4,2,1.78550899029
506,85,33,1441,1441,6,1,177.076171875
507,219,13,53,13,2,1,0.0393990017474
508,351,562,20,8,4,2,0.926449000835
509,13,219,8,33,2,2,0.00313200009987
510,53,351,33,13,10,1,3.27899193764
511,8,8,3,5,6,2,0.000250999990385
512,351,13,53,85,10,2,0.386305987835
513,85,13,3,85,8,2,0.00571799976751
514,351,20,562,137,6,2,5.71869516373
515,53,562,137,13,6,2,2.16922998428
516,85,5,137,5,4,2,0.0112570002675
517,562,8,351,900,6,2,9.68420124054
518,562,53,33,85,10,2,2.76090598106
519,137,53,5,33,8,1,0.178303003311
520,8,53,900,351,6,2,1.52509999275
521,85,20,219,8,8,1,0.96201300621
522,219,8,85,85,6,2,0.139896005392
523,137,13,562,5,6,1,1.53567802906
524,8,351,53,13,6,2,0.0653040036559
525,219,562,33,20,10,1,26.2168636322
526,13,219,3,219,6,1,0.085909999907
527,85,20,351,3,2,1,0.126546993852
528,351,137,562,85,2,2,3.52465605736
529,351,33,562,53,10,2,12.5286026001
530,8,351,137,8,2,2,0.0238509997725
531,20,85,137,53,2,2,0.0261770002544
532,351,20,3,8,2,2,0.00222499994561
533,137,562,85,5,8,1,22.1418704987
534,219,219,219,20,2,2,0.72641402483
535,13,20,900,562,4,2,0.789112985134
536,13,562,8,53,2,1,0.0428609997034
537,562,351,137,219,2,2,7.48613500595
538,13,53,5,33,10,1,0.0126989996061
539,137,351,13,900,2,1,4.55884408951
540,219,8,351,562,2,2,0.407860994339
541,5,351,351,13,2,1,0.127396002412
542,351,562,8,3,2,1,0.372952014208
543,53,13,33,53,6,1,0.0645110011101
544,137,53,900,85,6,1,28.068857193
545,20,137,562,137,4,1,4.16402578354
546,5,8,351,13,4,1,0.0161649994552
547,20,351,53,900,10,2,5.83161401749
548,351,137,1441,5,4,2,15.3392801285
549,33,85,900,5,8,2,1.83484399319
550,85,20,13,20,10,2,0.025883000344
