,input_size_h,input_size_w,channels,filter_count,filter_size,stride,runtime
0,562,20,900,85,4,2,3.5825779438
1,33,53,8,3,2,1,0.00231499993242
2,33,53,13,20,10,1,0.0750389993191
3,13,33,5,85,8,1,0.00828799977899
4,13,53,5,85,10,1,0.0142620000988
5,53,53,53,13,4,2,0.0263010002673
6,13,219,562,900,6,2,6.93329715729
7,20,13,351,33,4,2,0.0234919991344
8,5,351,1441,1441,4,2,8.68253803253
9,137,53,562,53,8,2,3.90749406815
10,33,3,13,3,2,2,0.000138999996125
11,53,137,1441,33,4,1,9.02431964874
12,85,13,562,3,6,1,0.629378974438
13,33,13,137,8,6,2,0.0161899998784
14,53,33,8,1441,8,1,0.73604798317
15,219,53,351,900,8,1,136.441360474
16,562,33,137,53,2,1,0.711993992329
17,137,562,900,219,6,2,103.917686462
18,562,53,8,351,6,1,2.42172908783
19,351,5,33,5,4,1,0.0304320007563
20,219,562,13,85,8,2,2.26346302032
21,8,351,53,85,4,1,0.197033002973
22,5,5,562,351,2,2,0.0323980003595
23,219,562,562,562,10,2,631.77166748
24,53,13,20,53,10,1,0.0396240018308
25,219,219,85,20,10,1,17.3728523254
26,351,13,1441,1441,8,1,240.519699097
27,33,33,13,8,8,2,0.00662299990654
28,33,137,900,8,6,1,4.998005867
29,137,20,562,562,6,2,5.08671808243
30,351,137,3,562,4,2,0.485148996115
31,53,33,85,33,10,2,0.16271199286
32,8,20,85,219,4,1,0.0433630011976
33,85,562,33,85,6,2,1.24128496647
34,13,137,8,562,2,2,0.0147540001199
35,20,351,20,53,2,1,0.0505400002003
36,13,53,137,351,2,1,0.100882999599
37,13,562,13,1441,10,1,4.27435207367
38,53,85,53,562,4,1,1.53890800476
39,85,3,137,219,2,2,0.00906699988991
40,5,562,3,8,2,2,0.00054400000954
41,53,8,8,351,4,2,0.00637699989602
42,351,219,219,33,6,1,32.7023658752
43,33,85,219,85,8,2,0.727129995823
44,20,137,351,351,10,1,15.3608999252
45,13,53,5,85,8,1,0.0130660003051
46,5,137,85,8,4,2,0.00763900019228
47,8,137,5,562,6,1,0.0621300004423
48,53,351,351,20,8,2,4.28634119034
49,3,33,137,13,2,1,0.00203100009821
50,137,137,900,53,8,2,16.9661808014
51,85,13,219,137,10,2,0.405001014471
52,5,562,137,219,4,1,0.864346981049
53,219,137,351,1441,8,1,586.680297852
54,219,33,1441,219,2,2,1.76939094067
55,137,562,900,900,2,2,41.4163780212
56,13,53,33,13,6,1,0.0270700007677
57,137,13,20,85,4,2,0.0140589997172
58,85,53,562,1441,6,2,20.4909133911
59,13,13,219,3,6,1,0.0304450001568
60,562,53,562,351,6,2,35.947479248
61,562,53,562,85,10,1,124.931495667
62,137,351,137,8,4,1,4.03287220001
63,3,13,900,33,2,2,0.00630400003865
64,219,562,219,562,8,2,159.989974976
65,33,85,5,219,2,2,0.00831300020218
66,13,351,3,13,6,2,0.0048830001615
67,85,219,20,562,4,1,2.64446806908
68,53,85,900,8,4,2,0.608714997768
69,562,137,5,3,6,1,0.50240701437
70,20,351,137,351,10,2,4.34849691391
71,351,53,13,13,4,1,0.176181003451
72,85,137,3,5,10,2,0.0320309996605
73,53,137,1441,137,10,2,26.372177124
74,562,562,562,562,8,2,
75,5,562,219,53,2,2,0.0368289984763
76,562,20,33,8,2,1,0.0587569996715
77,562,33,219,219,4,1,10.8176279068
78,137,562,3,20,4,2,0.0562979988754
79,85,351,137,85,2,1,1.50194096565
80,5,53,219,13,2,1,0.00845899991691
81,13,13,351,562,8,1,1.0140529871
82,53,13,562,5,10,1,0.575550973415
83,85,33,5,137,8,2,0.0271039996296
84,53,8,137,900,4,2,0.207417994738
85,137,13,20,137,2,2,0.006403000094
86,20,562,20,219,6,2,0.335711985826
87,13,13,1441,8,4,1,0.130007997155
88,13,137,33,900,8,1,1.41270697117
89,53,137,900,13,10,2,5.84984302521
90,351,85,13,1441,2,2,0.781971991062
91,8,33,20,219,6,2,0.0113629996777
92,85,20,1441,20,4,1,1.705327034
93,85,85,53,900,6,1,7.85012817383
94,53,5,8,5,2,1,0.00042399999802
95,85,53,8,900,6,2,0.224375993013
96,3,53,13,53,2,1,0.000768999976572
97,13,85,900,219,8,1,6.75240087509
98,85,53,900,562,4,2,6.23256111145
99,351,20,137,219,4,1,2.57778596878
100,53,85,20,5,6,2,0.0301520004869
101,53,351,33,900,2,1,1.99568200111
102,562,85,562,5,10,2,23.2020721436
103,351,219,1441,13,10,1,449.980316162
104,8,351,3,20,2,2,0.00101300003007
105,20,20,33,562,6,2,0.0649819970131
106,351,137,8,219,4,2,0.368396997452
107,13,5,1441,53,2,1,0.0268389992416
108,53,351,219,85,2,1,1.47740602493
109,20,219,8,219,4,2,0.0338389985263
110,137,137,53,219,4,1,2.82111692429
111,53,562,8,33,6,2,0.124875001609
112,53,53,33,562,4,1,0.623292028904
113,33,20,13,1441,10,2,0.204586997628
114,351,8,33,5,4,2,0.0155100002885
115,137,351,562,5,10,1,95.3910217285
116,219,53,562,33,2,1,1.43658804893
117,562,219,219,33,4,2,5.97126293182
118,219,562,3,3,10,1,1.30311703682
119,33,3,1441,562,2,2,0.166203007102
120,219,8,20,20,2,1,0.00723400013521
121,8,562,219,8,2,1,0.136837005615
122,53,33,13,8,10,2,0.0152230001986
123,33,562,562,53,8,1,37.9265594482
124,20,85,3,351,6,1,0.0578339993954
125,562,13,8,33,2,2,0.00531500019133
126,219,85,1441,20,4,1,19.3796329498
127,13,20,33,137,6,2,0.0125040002167
128,562,13,3,562,10,1,0.462704986334
129,8,85,562,53,2,2,0.0289179999381
130,5,53,53,8,2,1,0.0019640000537
131,20,33,85,137,2,2,0.00926300045103
132,13,219,53,20,2,1,0.0295540001243
133,85,562,351,8,4,1,10.1390752792
134,53,53,33,8,10,1,0.271663993597
135,351,53,85,3,8,1,3.30388402939
136,85,137,1441,13,10,2,15.8839635849
137,33,137,900,219,6,2,5.77073001862
138,33,33,219,20,8,1,0.539948999882
139,13,219,33,5,6,1,0.100628003478
140,137,137,5,33,2,2,0.0114259999245
141,351,351,137,85,8,2,23.0098876953
142,351,137,13,351,8,1,10.1385650635
143,85,137,900,5,4,2,1.57199501991
144,137,3,1441,137,2,1,0.219634994864
145,33,5,219,33,2,2,0.00279600010253
146,137,562,20,3,6,2,0.49806201458
147,351,33,53,33,8,2,0.478011995554
148,5,5,13,33,2,2,0.000180000002729
149,20,85,5,5,10,1,0.0213079992682
150,137,137,351,33,8,1,21.6540527344
151,13,137,351,137,6,2,0.584779977798
152,137,5,1441,20,4,1,0.593653023243
153,53,33,13,1441,4,1,0.406228989363
154,8,562,137,351,2,2,0.181457996368
155,8,351,53,1441,6,1,3.25237488747
156,20,137,900,900,2,2,1.59103405476
157,219,351,20,3,2,2,0.0599419996142
158,219,33,562,85,8,2,4.80384683609
159,351,562,900,13,8,1,
160,13,85,85,20,10,1,0.186496004462
161,562,85,137,219,2,2,1.20274400711
162,33,351,13,900,8,2,1.31671500206
163,8,562,900,1441,4,2,15.6522598267
164,219,13,85,562,4,2,0.381440013647
165,351,33,53,13,4,2,0.107280001044
166,85,351,900,33,6,1,51.0632743835
167,20,137,900,5,10,1,5.82061910629
168,219,137,3,219,6,2,0.192866995931
169,219,562,13,85,6,1,5.25933599472
170,562,562,53,8,4,2,2.60956907272
171,137,219,900,5,2,2,1.02831602097
172,351,13,33,219,4,1,0.42093500495
173,3,33,562,53,2,2,0.00733399996534
174,53,5,85,53,4,1,0.0219049993902
175,33,562,137,5,8,1,5.2034201622
176,53,20,53,5,10,1,0.124015003443
177,351,219,20,20,6,2,0.634536027908
178,137,219,562,1441,6,1,542.653564453
179,219,562,85,5,4,1,6.34388208389
180,53,20,85,85,8,1,0.358534008265
181,33,85,5,53,8,1,0.0560339987278
182,351,562,20,137,10,2,11.6632356644
183,562,85,900,3,6,2,13.7204475403
184,53,85,5,900,10,2,0.305193990469
185,5,85,53,20,4,1,0.0138860000297
186,20,13,900,3,2,2,0.00847299955785
187,562,562,5,20,10,1,7.2547659874
188,85,5,137,351,2,2,0.0183760002255
189,562,85,3,3,8,1,0.320690006018
190,33,351,20,85,6,2,0.177380993962
191,137,85,53,1441,4,2,2.43754005432
192,20,562,351,8,6,2,1.25381696224
193,20,13,351,8,6,1,0.0849810019135
194,85,13,1441,351,4,1,6.03345918655
195,351,20,219,13,2,1,0.259905010462
196,53,13,219,20,8,1,0.250221014023
197,53,219,562,5,8,1,14.0507745743
198,20,351,33,53,8,2,0.205862998962
199,219,33,351,351,2,1,2.5931429863
200,85,13,3,8,2,2,0.000302000000374
201,53,13,5,8,2,2,0.000268000003416
202,562,20,33,33,6,2,0.174448996782
203,137,85,900,33,8,1,33.4969749451
204,13,5,85,20,4,1,0.00378999998793
205,20,351,3,13,10,2,0.017874000594
206,20,53,5,137,6,2,0.00687800021842
207,351,219,562,85,4,1,60.0835571289
208,20,562,53,53,10,1,2.60475611687
209,53,53,53,5,4,2,0.0230659991503
210,562,20,20,351,8,1,2.83734989166
211,562,20,5,20,2,2,0.00486700003967
212,562,562,53,3,8,2,9.69143676758
213,219,20,8,33,10,2,0.0357349999249
214,351,3,5,3,2,2,0.000266999995802
215,562,8,85,5,6,1,0.333667010069
216,137,562,137,900,2,2,6.88991212845
217,20,5,13,351,2,1,0.00274899997748
218,219,53,33,33,4,1,0.349781006575
219,20,219,8,351,4,2,0.0508340001106
220,351,219,8,13,2,2,0.0356750003994
221,137,137,85,3,8,2,0.871352016926
222,5,33,562,900,2,2,0.119566999376
223,562,137,900,3,8,2,38.7967376709
224,137,85,5,13,6,2,0.0245500002056
225,351,53,3,219,6,1,0.461888998747
226,562,562,137,53,6,1,104.484283447
227,562,13,137,85,10,1,4.06291913986
228,53,137,900,3,6,1,7.96953201294
229,53,5,219,137,2,1,0.0274049993604
230,137,33,900,33,2,1,0.876603007317
231,8,33,137,1441,6,1,0.959710001945
232,5,53,137,8,2,1,0.00475399987772
233,13,13,351,13,4,2,0.0111400000751
234,85,20,1441,33,6,2,1.10246503353
235,137,33,13,562,8,1,1.26222896576
236,13,20,20,33,4,2,0.0015419999836
237,137,53,33,351,4,2,0.273189008236
238,85,137,53,13,2,1,0.111915998161
239,219,219,5,53,4,1,0.371538996696
240,13,53,3,219,4,2,0.00287199998274
241,351,137,137,53,10,2,10.4573059082
242,8,5,562,13,4,2,0.008998000063
243,33,351,351,53,6,1,8.91063690186
244,33,85,85,137,2,1,0.126720994711
245,53,219,13,5,6,1,0.197945997119
246,13,3,137,562,2,1,0.014801999554
247,85,20,5,53,6,1,0.0212999992073
248,53,53,219,8,2,1,0.0946210026741
249,33,53,219,33,4,1,0.350035995245
250,137,8,33,351,2,2,0.014688000083
251,20,53,900,1441,4,1,14.0149803162
252,5,137,13,33,2,1,0.00238499999978
253,85,33,137,85,8,2,0.45601400733
254,53,13,562,8,4,1,0.216491997242
255,562,562,20,1441,2,2,10.0245485306
256,53,137,53,13,8,2,0.237865000963
257,219,53,3,137,4,1,0.126274004579
258,13,5,3,13,4,2,0.00014600000577
259,20,13,562,5,4,1,0.0768830031157
260,13,351,13,13,8,1,0.119469001889
261,13,3,900,3,2,2,0.00201799999923
262,13,13,33,900,2,1,0.0191859994084
263,13,219,8,351,2,2,0.0149389998987
264,137,351,3,900,8,2,1.64037501812
265,562,33,351,3,10,1,18.518239975
266,562,85,85,219,6,2,6.07450199127
267,13,219,137,900,4,1,3.52003407478
268,562,85,53,900,8,2,22.8093624115
269,137,562,137,8,2,1,1.63192200661
270,8,5,900,13,4,1,0.0275010000914
271,85,562,351,900,2,2,10.2058620453
272,53,351,53,85,2,1,0.392690002918
273,351,85,5,13,2,2,0.0102430004627
274,85,53,137,20,8,2,0.393624991179
275,53,562,53,900,6,2,8.13940811157
276,351,137,13,13,8,1,1.68323302269
277,13,219,351,1441,2,2,0.967226028442
278,562,33,137,1441,10,1,183.976272583
279,8,85,1441,13,2,2,0.0434149987996
280,33,13,8,3,2,1,0.000614000018686
281,351,53,5,20,6,2,0.0410589985549
282,8,20,3,351,4,1,0.00410200003535
283,351,219,85,137,2,1,3.51810598373
284,351,8,219,562,2,2,0.283717989922
285,137,8,53,562,2,2,0.0318479984999
286,13,137,53,5,10,1,0.159042999148
287,137,137,13,53,4,2,0.0755370035768
288,562,137,53,1441,10,1,353.927734375
289,85,20,900,13,2,1,0.250784993172
290,562,13,13,20,8,1,0.175717994571
291,8,8,85,351,6,2,0.0468290001154
292,562,53,137,8,4,2,0.628261983395
293,5,13,351,137,2,2,0.00732500012964
294,33,85,3,219,2,1,0.0299949999899
295,33,53,1441,53,10,1,11.8744421005
296,85,562,137,53,10,2,10.1409759521
297,85,85,85,13,6,2,0.225750997663
298,137,85,562,562,8,2,36.5075874329
299,13,562,562,5,6,2,1.09114694595
300,562,13,13,53,8,1,0.283270001411
301,219,13,900,137,10,1,13.9765348434
302,351,13,20,219,4,1,0.268992990255
303,85,3,5,13,2,1,0.000338000012562
304,351,562,13,900,2,1,8.89485645294
305,137,33,20,351,10,1,1.76031804085
306,20,3,8,53,2,2,0.000199000001885
307,53,13,5,85,4,1,0.00657700002193
308,13,137,85,20,10,2,0.0809800028801
309,351,13,219,33,10,2,0.64900302887
310,562,13,85,900,2,1,1.57932496071
311,8,85,20,33,4,1,0.0120529998094
312,137,33,20,219,8,1,0.85620701313
313,137,13,85,5,2,1,0.023979999125
314,85,562,53,85,4,2,0.911715984344
315,85,137,20,562,2,1,0.594757020473
316,562,351,562,1441,2,2,104.819862366
317,5,53,13,900,4,2,0.0158600006253
318,3,5,562,900,2,1,0.0865100026131
319,53,20,351,13,4,1,0.261489003897
320,562,219,20,219,10,2,10.1853151321
321,351,20,5,219,10,2,0.117158003151
322,351,5,8,33,4,2,0.00317199993879
323,33,351,20,562,6,1,3.0762090683
324,562,219,137,33,6,1,33.1838607788
325,20,219,900,8,8,2,1.9185949564
326,33,562,900,53,4,2,4.41818284988
327,562,351,85,53,10,2,27.5638027191
328,137,219,900,351,6,1,236.971878052
329,562,351,33,5,10,2,6.0500998497
330,219,562,13,3,2,1,0.245551005006
331,562,13,219,900,8,2,9.54525756836
332,562,8,5,1441,2,2,0.0868870019913
333,33,53,1441,8,8,1,4.83085823059
334,13,562,53,137,10,2,0.561262011528
335,53,53,3,20,10,1,0.033385001123
336,219,20,53,20,2,2,0.0127550000325
337,351,8,85,13,6,1,0.232574000955
338,33,137,900,137,8,2,6.5944647789
339,8,33,219,13,4,2,0.0118450000882
340,33,351,351,53,4,1,4.25864696503
341,33,5,3,33,4,2,0.000270999997156
342,85,53,1441,351,6,1,54.2624816895
343,53,137,1441,562,8,1,223.104476929
344,85,562,33,8,6,1,2.0992770195
345,85,85,351,85,2,1,0.891035020351
346,20,85,900,900,10,2,17.3998851776
347,351,3,3,33,2,1,0.00142999994569
348,351,137,13,351,10,2,3.84418201447
349,85,85,13,13,4,2,0.018565999344
350,137,137,1441,20,8,1,73.3428726196
351,219,20,219,351,8,1,11.4797086716
352,13,137,137,13,4,2,0.0405230000615
353,351,53,351,562,2,2,2.55542993546
354,85,85,85,3,10,2,0.476649999619
355,85,33,562,13,10,2,1.25665605068
356,13,5,53,33,2,2,0.000419999996666
357,351,5,219,8,2,2,0.012377999723
358,137,8,562,5,2,1,0.0836260020733
359,5,53,351,85,4,1,0.118956997991
360,20,13,33,85,2,1,0.00372099992819
361,85,33,20,33,8,2,0.0422599986196
362,351,137,8,13,2,2,0.0224479995668
363,351,562,53,1441,6,2,88.0934066772
364,5,137,3,562,4,1,0.023028999567
365,33,351,13,3,6,2,0.0478210002184
366,8,20,13,13,6,1,0.00215200008824
367,3,562,137,8,2,1,0.0256500001997
368,20,219,53,3,8,2,0.108136996627
369,219,219,20,53,10,2,1.56190097332
370,219,33,5,53,4,2,0.0137320002541
371,33,33,562,1441,10,1,38.0265083313
372,33,85,33,33,8,1,0.26806101203
373,20,13,33,351,4,2,0.0141080003232
374,13,33,137,219,4,2,0.0490260012448
375,13,85,20,20,2,2,0.00126799999271
376,562,562,219,53,2,2,4.83340597153
377,137,351,3,900,4,2,0.753570020199
378,5,13,20,85,4,1,0.00230100005865
379,13,5,13,33,2,1,0.000342999992426
380,53,219,351,1441,4,1,59.3201599121
381,3,351,33,3,2,1,0.0038699998986
382,33,20,20,137,6,1,0.0502949990332
383,137,33,351,8,4,2,0.238305002451
384,33,5,351,53,2,2,0.00591799989343
385,5,562,20,20,4,1,0.037239998579
386,13,33,33,351,6,1,0.105191998184
387,33,219,3,20,8,1,0.0589490011334
388,219,8,1441,5,2,1,0.360345005989
389,53,53,219,13,2,1,0.10670799762
390,137,351,20,8,2,2,0.0417769998312
391,20,562,85,1441,6,2,7.36999177933
392,85,5,1441,562,2,1,0.835362017155
393,137,13,1441,3,8,2,0.866953015327
394,8,8,5,85,6,2,0.000789000012446
395,5,219,137,20,4,2,0.0231870003045
396,33,20,33,219,6,1,0.117741003633
397,351,137,562,33,10,2,34.906375885
398,351,33,351,85,4,2,1.41356503963
399,351,562,351,1441,8,2,1004.59344482
400,20,53,8,53,10,2,0.0105490004644
401,20,137,53,53,6,2,0.0837460011244
402,351,137,53,5,6,2,0.86185002327
403,20,20,137,85,8,2,0.0755290016532
404,85,562,53,900,6,1,53.0691223145
405,33,13,1441,351,6,1,4.43394184113
406,351,53,900,8,6,1,21.687330246
407,53,137,5,33,2,1,0.0173470005393
408,20,562,13,33,6,1,0.258727014065
409,85,351,219,900,4,2,15.5962324142
410,53,8,13,900,4,1,0.0633890032768
411,351,20,1441,20,10,2,8.07510757446
412,8,137,5,3,4,2,0.000954999995884
413,137,33,219,5,8,2,0.500180006027
