,input_size_h,input_size_w,channels,filter_count,filter_size,stride,runtime
0,8,219,33,3,6,1,0.0937130004168
1,562,351,53,219,8,1,220.144287109
2,137,20,3,20,4,2,0.00439900020137
3,219,20,562,3,2,2,0.179798007011
4,351,53,219,1441,4,2,30.2117080688
5,33,562,20,13,4,2,0.131739005446
6,137,219,13,3,6,2,0.247200995684
7,137,33,85,1441,4,1,11.4464616776
8,53,33,137,8,8,1,0.886996984482
9,562,219,900,1441,6,1,
10,562,137,13,8,10,2,1.75934505463
11,13,13,13,5,2,2,0.000365000014426
12,13,13,13,900,6,1,0.0919120013714
13,219,351,8,53,10,2,2.00416898727
14,20,33,1441,5,8,2,0.831179022789
15,351,562,351,900,10,1,
16,85,562,900,219,4,1,228.105392456
17,85,137,5,351,10,2,0.711121976376
18,13,33,562,900,4,1,4.38935518265
19,85,562,900,33,10,1,420.243743896
20,53,85,20,33,8,1,0.539708971977
21,219,33,3,13,4,1,0.0354319997132
22,5,85,562,3,4,1,0.215696007013
23,85,85,20,351,2,1,0.459104001522
24,13,85,8,219,6,1,0.0990590006113
25,562,85,562,33,8,1,173.142944336
26,20,5,219,20,4,2,0.0121330004185
27,20,219,900,20,10,2,6.09664297104
28,13,351,33,562,10,1,5.24735784531
29,53,562,1441,137,10,1,862.651123047
30,13,53,3,900,4,1,0.0806360021234
31,5,13,85,13,2,1,0.00199500005692
32,5,5,20,1441,4,2,0.0386039987206
33,137,3,53,351,2,2,0.0144999995828
34,53,8,53,20,6,2,0.0163889992982
35,85,85,53,351,4,1,3.15508389473
36,85,85,53,20,2,1,0.148279994726
37,8,137,8,219,6,1,0.0811429992318
38,219,85,3,351,6,1,1.39510297775
39,219,13,351,137,10,2,2.96978998184
40,13,13,5,219,4,2,0.00262199994177
41,33,219,1441,20,6,1,29.8325176239
42,20,219,5,20,4,1,0.0368399992585
43,53,3,85,20,2,1,0.00423800013959
44,219,8,3,1441,2,1,0.205754995346
45,53,20,1441,13,4,2,0.524618983269
46,13,20,8,5,4,1,0.00268299994059
47,85,85,900,1441,4,2,47.4255638123
48,33,351,3,53,10,2,0.104959003627
49,53,351,137,351,10,1,107.809356689
50,53,13,562,900,4,2,2.03151202202
51,53,85,5,137,10,1,0.456427007914
52,33,351,13,13,2,1,0.0607669986784
53,53,5,3,351,4,1,0.011756000109
54,20,53,3,219,4,2,0.00929099973291
55,8,137,900,13,2,2,0.0859360024333
56,137,351,33,20,10,1,13.1601791382
57,8,53,8,351,6,2,0.0208139996976
58,351,53,53,219,4,1,5.43062210083
59,33,351,900,33,8,1,61.0318107605
60,219,13,5,33,2,2,0.00334700010717
61,33,13,219,20,2,1,0.0321349985898
62,20,20,219,8,10,1,0.303999006748
63,33,219,219,3,2,1,0.444308012724
64,53,219,900,351,10,2,110.636894226
65,53,219,20,53,6,2,0.279536992311
66,13,85,3,53,4,1,0.0113829998299
67,53,3,900,3,2,1,0.0287849996239
68,20,53,137,33,10,2,0.286963999271
69,219,85,219,1441,10,1,662.570495605
70,137,20,137,53,8,2,0.636528015137
71,137,562,351,5,10,2,46.7175483704
72,562,8,33,85,2,1,0.114187002182
73,20,3,3,85,2,2,0.000350999995135
74,53,5,53,219,2,1,0.0219889990985
75,53,53,351,8,2,2,0.0748160034418
76,85,20,562,219,2,1,1.24241197109
77,85,85,219,219,6,1,17.8019428253
78,137,562,562,219,10,2,339.068511963
79,33,85,351,33,8,2,1.4167330265
80,562,20,20,900,2,2,0.448976993561
81,85,351,20,351,2,2,0.474797993898
82,351,85,13,351,2,1,1.53380298615
83,53,137,900,562,6,1,165.172348022
84,8,13,8,85,4,2,0.00140399998054
85,562,33,1441,53,8,1,190.291625977
86,53,351,900,13,2,2,1.40297496319
87,20,562,137,137,4,2,1.49857795238
88,53,85,85,85,4,2,0.268031001091
89,85,562,3,53,2,1,0.269436001778
90,33,562,85,8,10,2,2.28848409653
91,53,3,33,562,2,1,0.0199299994856
92,33,13,219,562,8,1,2.90970110893
93,562,5,3,900,4,1,0.279963999987
94,20,13,8,1441,4,1,0.0865430012345
95,13,53,33,900,10,2,0.487800985575
96,53,20,13,562,6,1,0.350147992373
97,33,219,137,562,6,2,6.21944999695
98,53,20,1441,8,10,2,1.82591295242
99,351,137,137,1441,10,2,279.887237549
100,137,53,13,3,4,1,0.10948099941
101,33,20,85,20,8,2,0.0640489980578
102,351,20,1441,85,6,2,14.1996774673
103,351,562,13,1441,8,1,
104,5,33,351,900,2,2,0.143705993891
